,Id,annotation type,concat(substructures.Id),weighted,copy.Id,work,position,"position (f, concat)",no visual,remarkable,detail description,transcription,printed page.Id,persons.Id,ownership.Id,Descriptions,"content tags.id (f, concat)","description.id (f, concat)","material.id (f, concat)",material,public
0,46,mark-up/symbol,40,1,1494,7,margin,1,No,No,,,23,,,,,,1,pen,Yes
1,47,text/number,40,1,1494,7,margin,1,No,No,,,23,,,,,,2,pencil,Yes
2,48,text/number,40,1,1494,7,margin,1,No,No,,,24,,,,,,2,pencil,Yes
3,49,mark-up/symbol,40,1,1494,7,margin,1,No,No,,,24,,,,,,2,pencil,Yes
4,52,text/number,42,1,1494,7,margin,1,No,No,,,26,,,,,,2,pencil,Yes
5,53,mark-up/symbol,42,1,1494,7,margin,1,No,No,,,26,,,,,,2,pencil,Yes
6,54,text/number,42,1,1494,7,margin,1,No,No,,,27,,,,,,2,pencil,Yes
7,55,mark-up/symbol,42,1,1494,7,margin,1,No,No,,,27,,,,,,2,pencil,Yes
8,56,text/number,43,1,1494,7,margin,1,No,No,,,28,,,,,,2,pencil,Yes
9,57,mark-up/symbol,43,1,1494,7,margin,1,No,No,,,28,,,,,,2,pencil,Yes
10,58,text/number,"44, 43",1,1494,7,margin,1,No,No,,,29,,,,,,2,pencil,Yes
11,59,mark-up/symbol,"44, 43",1,1494,7,margin,1,No,No,,,29,,,,,,2,pencil,Yes
12,65,underlining/highlighting,"60, 59",1,1494,7,in-line,2,Yes,No,initial D colored in red,,33,,,,,,3,color,Yes
13,66,text/number,"63, 62",1,1494,7,margin,1,No,No,,,34,,,,,,2,pencil,Yes
14,67,mark-up/symbol,"63, 62",1,1494,7,margin,1,No,No,,,34,,,,,,2,pencil,Yes
15,69,mark-up/symbol,"92, 91",1,1494,7,margin,1,No,No,,,35,,,,,,2,pencil,Yes
16,70,text/number,93,1,1494,7,margin,1,No,No,,,36,,,,,,2,pencil,Yes
17,71,mark-up/symbol,93,1,1494,7,margin,1,No,No,,,36,,,,,,2,pencil,Yes
18,72,text/number,98,1,1494,7,margin,1,No,No,,,37,,,,,,2,pencil,Yes
19,73,mark-up/symbol,98,1,1494,7,margin,1,No,No,,,37,,,,,,2,pencil,Yes
20,74,text/number,"101, 100",1,1494,7,margin,1,No,No,,,38,,,,,,2,pencil,Yes
21,75,mark-up/symbol,"101, 100",1,1494,7,margin,1,No,No,,,38,,,,,,2,pencil,Yes
22,76,text/number,"112, 111",1,1494,7,margin,1,No,No,,,39,,,,,,2,pencil,Yes
23,77,mark-up/symbol,"112, 111",1,1494,7,margin,1,No,No,,,39,,,,,,2,pencil,Yes
24,78,text/number,"113, 112",1,1494,7,margin,1,No,No,,,40,,,,,,2,pencil,Yes
25,79,mark-up/symbol,"113, 112",1,1494,7,margin,1,No,No,,,40,,,,,,2,pencil,Yes
26,80,text/number,116,1,1494,7,margin,1,No,No,,,41,,,,,,2,pencil,Yes
27,81,mark-up/symbol,116,1,1494,7,margin,1,No,No,,,41,,,,,,2,pencil,Yes
28,83,mark-up/symbol,116,1,1494,7,margin,1,No,No,,,42,,,,,,2,pencil,Yes
