,Id,File ID,work,Library,Edition,editions.Id,catalogue link,digital copy,request sent,irrelevant,lost/spurious,checked by librarian,scan available,checked by me,pending,has annotations,mutilated/incomplete,analyzed,full digital copy,copy bound with copy of,comment,variations,remarkable,analysis,provenance,public,certainty
0,1013,6,7,Staatsbibliothek zu Berlin,Gilbert 1628,36,https://stabikat.de/DB=1/XMLPRS=N/PPN?PPN=092056881,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,,"Zu Ihrer Digitalisierungsanfrage von William Gilbert (My 18): Da das Werk bereits im VD17 Projekt von der Bibliothek in Wolfenbüttel digitalisiert wurde, sehe ich keine Möglichkeit ein kostenfreies vollständiges Digitalisat in Auftrag geben zu lassen. Außerdem bin ich mir nicht sicher, ob die wirklich feinen Anstreichungen im Digitalisat wirklich so gut sichtbar wären. Außerhalb eines Projektes wäre ein Volldigitalisat zwar möglich, doch mit enormen Kosten für Sie verbunden. ",Imprint of engraved title page reads 'EXCUSUS...Sumptibus Ioh: Hallervordij'. S-Hallervord-issue'. S-Hallervord-issue,,"Es enthält Anstreichungen, allerdings sind diese mit einem Bleistift ganz zart gemacht worden oder im Nachhinein wurde versucht sie zu tilgen (Arbeitsfotos im Anhang). Außerdem wurde bei Paginierfehlern oder schlecht lesbarer Seitenzählung handschriftlich korrigiert",,Yes,B
1,1019,13,7,Hofbibliothek und Stiftsbibliothek Aschaffenburg,Gilbert 1600,35,https://fwstp20.bib-bvb.de/TouchPoint/perma.do?q=+1035=%22BV008973374%22+IN+[2]&v=fwssab,,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,,"Hofbibl. Aschaffenburg (128) / Stiftsbibl., Lesesaal",,,"Ich bin alle Seiten von De Magnete durchgegangen und unser Exemplar entält keinerlei Anmerkungen oder Anstreichungen.
Einzig die Provenienz ist auf der letzten Seite vermerkt: Residentiae Societ. Jesu Aschaffenburgi (hs. Eintrag) ",Residentiae Societ. Jesu Aschaffenburgi (hs. Eintrag),Yes,B
2,1020,14,7,Deutsches Museum München,Gilbert 1600,35,https://opac.deutsches-museum.de/TouchPoint/perma.do?v=dmm&l=de&q=1035=%22BV008973374%22+IN+%5b2%5d,https://books.google.de/books?id=poPTngzFjTkC&pg=PP3&hl=de&source=gbs_selected_pages&cad=2#v=onepage&q&f=false,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,,"Libri Rari, bestellbar, Lesesaal",,Yes,,,Yes,A+
3,1021,15,7,Staats- und Stadtbibliothek Augsburg,Gilbert 1600,35,https://sbaoz2.bib-bvb.de/webOPACClient.sbasis/start.do?Login=wosba&Query=10%3D%22BV008973374%22,"https://www.digitale-sammlungen.de/de/view/bsb11200549?page=,1",No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,,bestellbar Lesesaal,,,,,Yes,A+
4,1022,16,7,Universitätbibliothek Erlangen-Nürnberg,Gilbert 1600,35,https://www.opac.fau.de/TouchPoint/start.do?View=uer&Language=de&Branch=0&Query=1035=%22BV008973374%22+IN+[2],,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,,"Hauptbibliothek / Handschriftenabteilung, bestellbar nur Lesesaal",,,"·         Seite 11: geringfügige Anmerkung im unteren Teil des Textes?
·         Seite 22: Buchstabe im Text ausgebessert
·         Seite 47: Wort im Text durchgestrichen und überschrieben",,Yes,B
5,1024,18,7,Kunstbibliothek,Gilbert 1600,35,https://opac.smb.spk-berlin.de/LNG=/SRCH?IKT=12&TRM=14991735X,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,,Kunstbibliothek - Sammlung Grisebach - Bereitstellung am Folgetag,,,,,Yes,B
6,1025,19,7,Universitätsbibliothek Leipzig,Gilbert 1600,35,https://katalog.ub.uni-leipzig.de/Record/0-1097144380#holdings,,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,,"Bibliotheca Albertina, wg. Brandschutzmaßnahmen nicht verfügbar 07.2021",,,unser Exemplar Libri.sep.680 stammt aus der Bibliothek des sächsischen Oberberghauptmann Karl Christian von Tettau (1681 - 1747). Es ist - wie die gesamte Tettau-Bibliothek - in einem Franzeinband um 1725 gebunden. Handschriftliche Einträge enthält das Exemplar nicht.,Karl Christian von Tettau,Yes,A
7,1026,20,7,Universitätsbibliothek Leipzig,Gilbert 1600,35,https://katalog.ub.uni-leipzig.de/Record/0-1097144380#holdings,,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,,"Bibliotheca Albertina, wg. Brandschutzmaßnahmen nicht verfügbar 07.2022",,Yes,"Das Exemplar I 10140 stammt aus der Bibliothek des Leipziger Sudhoff-Instituts für die Geschichte der Medizin. Diese Sammlung entstand durch Einkäufe auf dem Antiquariatsmarkt. Das Exemplar ist in einem Pergamentbroschur des 17. Jahrhunderts gebunden. Auf dem vorderen Schmutzblatt befindet sich ein sehr  verblasster Besitzeintrag: E. Wohlmill ? Wohlmuth ? 1864. Ferner gibt es auf diesem Blatt einige bibliographische Angaben (Erwähnungen von Gilbert in anderen Werken). Das Buch selbst hat vereinzelte handschriftliche Randbemerkungen wohl des 18. Jhdts, meist Verweise auf andere Autoren. Eingelegt ist ein handschriftliches Blatt (wohl 19. Jhdt) mit einen längeren Zitat aus Cardanus De Subtilitate.","Sudhoff-Archiv
E. Wohlmill ? Wohlmuth ? 1864",Yes,A
8,1027,21,7,Klassik Stiftung Weimar / Herzogin Anna Amalia Bibliothek,Gilbert 1600,35,https://opac.lbs-weimar.gbv.de/DB=2/XMLPRS=N/PPN?PPN=14991735X,https://haab-digital.klassik-stiftung.de/viewer/epnresolver?id=1649788495,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,sog. Aschebücher (nach Brand versucht zu retten und digitalisiert) ,,,,,Yes,A+
9,1048,42,7,Universitätsbibliothek Rostock,Gilbert 1629,55,http://rosdok.uni-rostock.de/resolve/id/rosdok_document_0000004479,http://rosdok.uni-rostock.de/mcrviewer/recordIdentifier/rosdok_ppn769054471/iview2/phys_0001.iview2,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,,,,,,,Yes,A+
10,1049,43,7,"Hochschul- und Landesbibliothek RheinMain, Wiesbaden",Gilbert 1633,37,https://hds.hebis.de/hsrm/Record/HEB476616921,,Yes,No,No,Yes,No,No,No,No,No,Yes,No,https://hds.hebis.de/hsrm/Record/HEB133807746,"Zettelkatalog, Angebunden an Galileo Systema cosmicum 1641",,Yes,"Es existieren keinerlei Kommentare oder Anstreichungen
Im Band sind an verschiedenen Stellen insg. 12 Kupferstiche eingebunden, die sich inhaltlich auf das Buch beziehen. Sie haben ein kleineres Format als der Band
Zur Provenienz: der Band stammt von dem Herborner Professor Nethenus
Der Titel ist zusammengebunden mit dem folgenden Werk: https://hds.hebis.de/hsrm/Record/HEB133807746",Herborner Professor Nethenus (Matthias Nethenus),Yes,C
11,1050,44,7,Universitätsbibliothek Mannheim,Gilbert 1633,37,https://primo.bib.uni-mannheim.de/permalink/f/19ojnqi/MAN_ALMA21288012460002561,http://digi.bib.uni-mannheim.de/urn/urn:nbn:de:bsz:180-digad-35911,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,"Schloss Schneckenhof West
Das Buch ist in sehr gutem Erhaltungszustand und wir erwägen die Digitalisierung des Bandes in absehbahrer Zeit. Ich werde Ihnen dann auch den Link zum Digitalisat zusenden. ",engravings on separate sheets at the end of the binding,,"Wir haben das gewünschte Exemplar überprüft und festgesellt, dass es nur einige sehr wenige handschriftliche Anmerkungen enthält, aber viele Stellen im Text mit blauer Farbe unterstrichen sind.
",,Yes,A+
12,1051,45,7,Max-Planck-Institut für Wissenschaftsgeschichte,Gilbert 1633,37,https://vzlbs3.gbv.de/DB=12.1/LNG=/SRCH?IKT=12&TRM=868922412,https://doi.org/10.48644/868383732,No,No,No,No,Yes,No,No,No,No,Yes,Yes,,,engravings bound within respective chapter,,,,Yes,A+
13,1052,46,7,Freie Universität Universitätsbibliothek,Gilbert 1633,37,"https://fu-berlin.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma990013205970402883&context=L&vid=49KOBV_FUB:FUB&lang=de&search_scope=FUB_CDI&adaptor=Local%20Search%20Engine&tab=FUB_CDI&query=any,contains,Gilbert%201633%20tractatus&offset=0",,Yes,No,No,Yes,No,No,No,No,No,Yes,No,,"ich habe mir das Rarum mit der Signatur 48/79/12554(9) genau angesehen und jede Seite geprüft.
Es findet sich in unserem Exemplar auf keiner Seite eine fremde Eintragung oder ein handschriftlicher Zusatz, Anmerkung etc. ",,,"Es findet sich in unserem Exemplar auf keiner Seite eine fremde Eintragung oder ein handschriftlicher Zusatz, Anmerkung etc. ",,Yes,C
14,1053,47,7,Universitäts- und Landesbibliothek Bonn,Gilbert 1633,37,https://bonnus.ulb.uni-bonn.de/SummonRecord/FETCH-bonn_catalog_39958902,,Yes,No,No,Yes,No,No,No,No,No,Yes,No,,,,,bei der Durchsicht unseres Exemplars mit der Signatur Qb 122 waren keinerlei Kommentare oder Anstreichungen zu entdecken,,Yes,C
15,1054,48,7,Niedersächsische Staats- und Universitätsbibliothek,Gilbert 1633,37,https://opac.sub.uni-goettingen.de/DB=1/LNG=/SRCH?IKT=12&TRM=536908346,https://gdz.sub.uni-goettingen.de/id/PPN772417385,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,,engravings bound within respective chapter,,"219(?)
pages 79 and 80 missing",,Yes,A+
16,1055,49,7,Herzog August Bibliothek Wolfenbüttel,Gilbert 1633,37,https://opac.lbs-braunschweig.gbv.de/DB=2/LNG=/SRCH?IKT=12&TRM=149917376,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,,Im Band Nc 4° 46a gibt es wenige Anstreichungen mit Bleistift auf den Seiten 22/23 in Cap. VII. ,,,,,Yes,B
17,1057,51,7,Klassik Stiftung Weimar / Herzogin Anna Amalia Bibliothek,Gilbert 1633,37,https://opac.lbs-weimar.gbv.de/DB=2/XMLPRS=N/PPN?PPN=149917376,,Yes,No,No,Yes,No,No,No,No,No,Yes,No,,Das zweite Exemplar mit der Signatur 19 A 9643 haben wir 2006 auf einer Auktion ersteigert.,,,Andere Spuren finden sich nicht. Ich habe jede Seite noch einmal genau angeschaut.,"Man findet sie unter dem Punkt „Provenienz(en)“. Im Exemplar finden sich lediglich zwei geschwärzte Stempel (""Biblioteca del Seminario di Bergamo"") und Angaben des Auktionshauses (Nummer und Schätzpreis). ",Yes,C
18,1058,52,7,Thüringer Universitäts- und Landesbibliothek,Gilbert 1633,37,https://kataloge.thulb.uni-jena.de/DB=1/XMLPRS=N/PPN?PPN=536908346,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,,"Nur zwei der Bände enthalten Lesespuren, die übrigen sind völlig frei davon",,,"- Praefatio verso Randvermerk (s. zweites angehängtes Foto)
- Praefatio ad lectorem, Schlussseite (A2): Unterstreichung „non ut ineptioribus ...ut Chimistae solent“",,Yes,B
19,1059,53,7,Staats- und Universitätsbibliothek Hamburg,Gilbert 1633,37,https://kataloge.uni-hamburg.de/DB=1/XMLPRS=N/PPN?PPN=536908346,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,"Ich kann Ihnen leider nicht alle Seiten reproduzieren, denn dann wäre es besser, gleich den kompletten Band digitalisieren zu lassen. Die Qualität wäre dann auch besser. Falls Sie das möchten, wenden Sie sich bitte wieder an meine Kollegin Frau Walther-Ballin. Meist handelt es sich im Buch um Unterstreichungen, gelegentlich gibt es kurze handschriftliche Eintragungen.",engravings on separate sheets at the beginning of the binding,,"Im Band „A/46960“ allerdings gibt es rötliche Unterstreichungen/Durchstreichungen sowie einzelne geschriebene kurze Sätze, Zahlen oder Wörter an den Seitenrändern. Die Tinte und Schrift sind ähnlich dem Besitzvermerk.","Hs. Besitzverm. von Woldeck Weland (aus Verden), Rostock 1633",Yes,A+
