Id,Cluster
1013,3
1020,0
1021,0
1024,2
1026,3
1027,0
1050,3
1051,5
1054,2
1055,0
1059,3
1065,1
1069,4
1075,2
1086,2
1087,2
1089,0
1090,0
1092,4
1093,1
1098,0
1100,5
1105,4
1106,0
1123,0
1131,3
1140,4
1148,3
1149,4
1186,0
1189,0
1194,0
1315,3
1316,0
1327,3
1328,0
1332,3
1334,1
1341,4
1346,2
1348,0
1351,3
1352,0
1355,3
1356,2
1357,3
1362,3
1363,1
1364,3
1365,1
1366,4
1368,2
1369,3
1370,3
1372,3
1373,3
1374,4
1376,1
1377,0
1378,1
1380,0
1381,3
1391,3
1392,3
1393,3
1395,0
1396,4
1423,0
1425,4
1426,5
1431,0
1432,0
1435,0
1438,3
1443,3
1454,0
1457,4
1458,3
1464,3
1471,3
1473,3
1474,3
1476,3
1477,0
1478,3
1482,3
1483,3
1484,0
1486,4
1490,0
1491,1
1494,3
1497,0
1498,4
1499,3
1500,3
1501,3
1504,3
1508,3
1512,4
1515,0
1516,1
1517,2
1519,3
1522,0
1527,3
1528,3
1533,3
1534,3
1535,4
1540,3
1541,0
1543,5
1544,0
1545,0
1547,0
1551,3
1555,3
1557,1
1558,0
1561,2
1562,3
1565,1
1569,0
1575,1
1576,1
1577,3
1579,3
1581,3
1582,3
1583,5
1585,3
1586,0
1591,0
1593,4
1598,3
1600,1
1603,0
1605,2
1606,3
1609,0
1611,5
1614,1
1617,3
1619,0
1620,0
1621,1
1625,2
1627,2
1628,1
1630,1
1631,3
1632,0
1634,2
1635,0
1641,1
1663,3
1664,2
1770,0
1771,3
1813,2
1819,3
1820,4
1826,1
1827,4
