Id,Gilbert/De magnete/Liber 1/cap. 1,Gilbert/De magnete/Liber 1/cap. 2,Gilbert/De magnete/Liber 1/cap. 3,Gilbert/De magnete/Liber 1/cap. 4,Gilbert/De magnete/Liber 1/cap. 5,Gilbert/De magnete/Liber 1/cap. 6,Gilbert/De magnete/Liber 1/cap. 7,Gilbert/De magnete/Liber 1/cap. 8,Gilbert/De magnete/Liber 1/cap. 9,Gilbert/De magnete/Liber 1/cap. 10,Gilbert/De magnete/Liber 1/cap. 11,Gilbert/De magnete/Liber 1/cap. 12,Gilbert/De magnete/Liber 1/cap. 13,Gilbert/De magnete/Liber 1/cap. 14,Gilbert/De magnete/Liber 1/cap. 15,Gilbert/De magnete/Liber 1/cap. 16,Gilbert/De magnete/Liber 1/cap. 17,Gilbert/De magnete/Liber 2/cap. 1,Gilbert/De magnete/Liber 2/cap. 2,Gilbert/De magnete/Liber 2/cap. 3,Gilbert/De magnete/Liber 2/cap. 4,Gilbert/De magnete/Liber 2/cap. 5,Gilbert/De magnete/Liber 2/cap. 6,Gilbert/De magnete/Liber 2/cap. 7,Gilbert/De magnete/Liber 2/cap. 8,Gilbert/De magnete/Liber 2/cap. 9,Gilbert/De magnete/Liber 2/cap. 10,Gilbert/De magnete/Liber 2/cap. 11,Gilbert/De magnete/Liber 2/cap. 12,Gilbert/De magnete/Liber 2/cap. 13,Gilbert/De magnete/Liber 2/cap. 14,Gilbert/De magnete/Liber 2/cap. 15,Gilbert/De magnete/Liber 2/cap. 16,Gilbert/De magnete/Liber 2/cap. 17,Gilbert/De magnete/Liber 2/cap. 18,Gilbert/De magnete/Liber 2/cap. 19,Gilbert/De magnete/Liber 2/cap. 20,Gilbert/De magnete/Liber 2/cap. 21,Gilbert/De magnete/Liber 2/cap. 22,Gilbert/De magnete/Liber 2/cap. 23,Gilbert/De magnete/Liber 2/cap. 24,Gilbert/De magnete/Liber 2/cap. 25,Gilbert/De magnete/Liber 2/cap. 26,Gilbert/De magnete/Liber 2/cap. 27,Gilbert/De magnete/Liber 2/cap. 28,Gilbert/De magnete/Liber 2/cap. 29,Gilbert/De magnete/Liber 2/cap. 30,Gilbert/De magnete/Liber 2/cap. 31,Gilbert/De magnete/Liber 2/cap. 32,Gilbert/De magnete/Liber 2/cap. 33,Gilbert/De magnete/Liber 2/cap. 34,Gilbert/De magnete/Liber 2/cap. 35,Gilbert/De magnete/Liber 2/cap. 36,Gilbert/De magnete/Liber 2/cap. 37,Gilbert/De magnete/Liber 2/cap. 38,Gilbert/De magnete/Liber 2/cap. 39,Gilbert/De magnete/Liber 3/cap. 1,Gilbert/De magnete/Liber 3/cap. 2,Gilbert/De magnete/Liber 3/cap. 3,Gilbert/De magnete/Liber 3/cap. 4,Gilbert/De magnete/Liber 3/cap. 5,Gilbert/De magnete/Liber 3/cap. 6,Gilbert/De magnete/Liber 3/cap. 7,Gilbert/De magnete/Liber 3/cap. 8,Gilbert/De magnete/Liber 3/cap. 9,Gilbert/De magnete/Liber 3/cap. 10,Gilbert/De magnete/Liber 3/cap. 11,Gilbert/De magnete/Liber 3/cap. 12,Gilbert/De magnete/Liber 3/cap. 13,Gilbert/De magnete/Liber 3/cap. 14,Gilbert/De magnete/Liber 3/cap. 15,Gilbert/De magnete/Liber 3/cap. 16,Gilbert/De magnete/Liber 3/cap. 17,Gilbert/De magnete/Liber 4/cap. 1,Gilbert/De magnete/Liber 4/cap. 2,Gilbert/De magnete/Liber 4/cap. 3,Gilbert/De magnete/Liber 4/cap. 4,Gilbert/De magnete/Liber 4/cap. 5,Gilbert/De magnete/Liber 4/cap. 6,Gilbert/De magnete/Liber 4/cap. 7,Gilbert/De magnete/Liber 4/cap. 8,Gilbert/De magnete/Liber 4/cap. 9,Gilbert/De magnete/Liber 4/cap. 10,Gilbert/De magnete/Liber 4/cap. 11,Gilbert/De magnete/Liber 4/cap. 12,Gilbert/De magnete/Liber 4/cap. 13,Gilbert/De magnete/Liber 4/cap. 14,Gilbert/De magnete/Liber 4/cap. 15,Gilbert/De magnete/Liber 4/cap. 16,Gilbert/De magnete/Liber 4/cap. 17,Gilbert/De magnete/Liber 4/cap. 18,Gilbert/De magnete/Liber 4/cap. 19,Gilbert/De magnete/Liber 4/cap. 20,Gilbert/De magnete/Liber 4/cap. 21,Gilbert/De magnete/Liber 5/cap. 1,Gilbert/De magnete/Liber 5/cap. 2,Gilbert/De magnete/Liber 5/cap. 3,Gilbert/De magnete/Liber 5/cap. 4,Gilbert/De magnete/Liber 5/cap. 5,Gilbert/De magnete/Liber 5/cap. 6,Gilbert/De magnete/Liber 5/cap. 7,Gilbert/De magnete/Liber 5/cap. 8,Gilbert/De magnete/Liber 5/cap. 9,Gilbert/De magnete/Liber 5/cap. 10,Gilbert/De magnete/Liber 5/cap. 11,Gilbert/De magnete/Liber 5/cap. 12,Gilbert/De magnete/Liber 6/cap. 1,Gilbert/De magnete/Liber 6/cap. 2,Gilbert/De magnete/Liber 6/cap. 3,Gilbert/De magnete/Liber 6/cap. 4,Gilbert/De magnete/Liber 6/cap. 5,Gilbert/De magnete/Liber 6/cap. 6,Gilbert/De magnete/Liber 6/cap. 7,Gilbert/De magnete/Liber 6/cap. 8,Gilbert/De magnete/Liber 6/cap. 9,Cluster
1020,18,8,1,1,1,1,6,7,2,2,4,6,3,0,0,8,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1
1026,10,7,5,5,6,2,5,6,2,2,3,4,2,0,2,5,7,4,31,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,2,0,0,0,4,2,2,11,7,10,2,0,0,0,0
1050,4,7,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,2,1,1,2,1,0,0,0,1,2,1,1,1,0,1,0,2,0,2,1,0,1,1,1
1059,1,2,1,1,2,2,3,3,2,0,1,2,1,0,2,2,4,0,10,1,8,4,1,1,1,0,0,0,2,2,2,0,0,0,0,0,0,0,1,3,2,2,0,0,1,1,0,0,4,1,0,2,2,0,1,1,3,3,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,4,4,2,2,2,2,3,4,2,0,0,0,0,2,2,4,4,1,1,0,0,2,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1
1131,17,0,0,0,0,2,8,2,2,0,0,0,0,0,1,0,0,1,15,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1148,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,3,5,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,0,0,0,0,1,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,5,2,0,1,2,1
1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,5,6,3,2,4,4,1
1315,0,0,2,0,0,0,0,0,0,0,0,1,4,4,1,0,0,3,35,4,2,12,5,6,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,11,8,0,0,0,0,0,0,0,0,0,0,1,21,4,0,0,0,0,23,21,6,0,3,8,0,0,3,6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,11,7,15,24,24,29,6,6,30,26,2
1332,6,2,2,4,2,5,9,1,2,2,0,0,0,1,5,2,4,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,2,4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,2,3,3,0,0,0,0,0,2,2,2,2,1,1,1,7,7,4,1,1,2,1,3,3,3,1,1,4,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,0,0,1,0,3,3,9,4,5,2,1,2,0,0
