Id,Gilbert/De magnete/Liber 1/cap. 1,Gilbert/De magnete/Liber 1/cap. 2,Gilbert/De magnete/Liber 1/cap. 3,Gilbert/De magnete/Liber 1/cap. 4,Gilbert/De magnete/Liber 1/cap. 5,Gilbert/De magnete/Liber 1/cap. 6,Gilbert/De magnete/Liber 1/cap. 7,Gilbert/De magnete/Liber 1/cap. 8,Gilbert/De magnete/Liber 1/cap. 9,Gilbert/De magnete/Liber 1/cap. 10,Gilbert/De magnete/Liber 1/cap. 11,Gilbert/De magnete/Liber 1/cap. 12,Gilbert/De magnete/Liber 1/cap. 13,Gilbert/De magnete/Liber 1/cap. 14,Gilbert/De magnete/Liber 1/cap. 15,Gilbert/De magnete/Liber 1/cap. 16,Gilbert/De magnete/Liber 1/cap. 17,Gilbert/De magnete/Liber 2/cap. 1,Gilbert/De magnete/Liber 2/cap. 2,Gilbert/De magnete/Liber 2/cap. 3,Gilbert/De magnete/Liber 2/cap. 4,Gilbert/De magnete/Liber 2/cap. 5,Gilbert/De magnete/Liber 2/cap. 6,Gilbert/De magnete/Liber 2/cap. 7,Gilbert/De magnete/Liber 2/cap. 8,Gilbert/De magnete/Liber 2/cap. 9,Gilbert/De magnete/Liber 2/cap. 10,Gilbert/De magnete/Liber 2/cap. 11,Gilbert/De magnete/Liber 2/cap. 12,Gilbert/De magnete/Liber 2/cap. 13,Gilbert/De magnete/Liber 2/cap. 14,Gilbert/De magnete/Liber 2/cap. 15,Gilbert/De magnete/Liber 2/cap. 16,Gilbert/De magnete/Liber 2/cap. 17,Gilbert/De magnete/Liber 2/cap. 18,Gilbert/De magnete/Liber 2/cap. 19,Gilbert/De magnete/Liber 2/cap. 20,Gilbert/De magnete/Liber 2/cap. 21,Gilbert/De magnete/Liber 2/cap. 22,Gilbert/De magnete/Liber 2/cap. 23,Gilbert/De magnete/Liber 2/cap. 24,Gilbert/De magnete/Liber 2/cap. 25,Gilbert/De magnete/Liber 2/cap. 26,Gilbert/De magnete/Liber 2/cap. 27,Gilbert/De magnete/Liber 2/cap. 28,Gilbert/De magnete/Liber 2/cap. 29,Gilbert/De magnete/Liber 2/cap. 30,Gilbert/De magnete/Liber 2/cap. 31,Gilbert/De magnete/Liber 2/cap. 32,Gilbert/De magnete/Liber 2/cap. 33,Gilbert/De magnete/Liber 2/cap. 34,Gilbert/De magnete/Liber 2/cap. 35,Gilbert/De magnete/Liber 2/cap. 36,Gilbert/De magnete/Liber 2/cap. 37,Gilbert/De magnete/Liber 2/cap. 38,Gilbert/De magnete/Liber 2/cap. 39,Gilbert/De magnete/Liber 3/cap. 1,Gilbert/De magnete/Liber 3/cap. 2,Gilbert/De magnete/Liber 3/cap. 3,Gilbert/De magnete/Liber 3/cap. 4,Gilbert/De magnete/Liber 3/cap. 5,Gilbert/De magnete/Liber 3/cap. 6,Gilbert/De magnete/Liber 3/cap. 7,Gilbert/De magnete/Liber 3/cap. 8,Gilbert/De magnete/Liber 3/cap. 9,Gilbert/De magnete/Liber 3/cap. 10,Gilbert/De magnete/Liber 3/cap. 11,Gilbert/De magnete/Liber 3/cap. 12,Gilbert/De magnete/Liber 3/cap. 13,Gilbert/De magnete/Liber 3/cap. 14,Gilbert/De magnete/Liber 3/cap. 15,Gilbert/De magnete/Liber 3/cap. 16,Gilbert/De magnete/Liber 3/cap. 17,Gilbert/De magnete/Liber 4/cap. 1,Gilbert/De magnete/Liber 4/cap. 2,Gilbert/De magnete/Liber 4/cap. 3,Gilbert/De magnete/Liber 4/cap. 4,Gilbert/De magnete/Liber 4/cap. 5,Gilbert/De magnete/Liber 4/cap. 6,Gilbert/De magnete/Liber 4/cap. 7,Gilbert/De magnete/Liber 4/cap. 8,Gilbert/De magnete/Liber 4/cap. 9,Gilbert/De magnete/Liber 4/cap. 10,Gilbert/De magnete/Liber 4/cap. 11,Gilbert/De magnete/Liber 4/cap. 12,Gilbert/De magnete/Liber 4/cap. 13,Gilbert/De magnete/Liber 4/cap. 14,Gilbert/De magnete/Liber 4/cap. 15,Gilbert/De magnete/Liber 4/cap. 16,Gilbert/De magnete/Liber 4/cap. 17,Gilbert/De magnete/Liber 4/cap. 18,Gilbert/De magnete/Liber 4/cap. 19,Gilbert/De magnete/Liber 4/cap. 20,Gilbert/De magnete/Liber 4/cap. 21,Gilbert/De magnete/Liber 5/cap. 1,Gilbert/De magnete/Liber 5/cap. 2,Gilbert/De magnete/Liber 5/cap. 3,Gilbert/De magnete/Liber 5/cap. 4,Gilbert/De magnete/Liber 5/cap. 5,Gilbert/De magnete/Liber 5/cap. 6,Gilbert/De magnete/Liber 5/cap. 7,Gilbert/De magnete/Liber 5/cap. 8,Gilbert/De magnete/Liber 5/cap. 9,Gilbert/De magnete/Liber 5/cap. 10,Gilbert/De magnete/Liber 5/cap. 11,Gilbert/De magnete/Liber 5/cap. 12,Gilbert/De magnete/Liber 6/cap. 1,Gilbert/De magnete/Liber 6/cap. 2,Gilbert/De magnete/Liber 6/cap. 3,Gilbert/De magnete/Liber 6/cap. 4,Gilbert/De magnete/Liber 6/cap. 5,Gilbert/De magnete/Liber 6/cap. 6,Gilbert/De magnete/Liber 6/cap. 7,Gilbert/De magnete/Liber 6/cap. 8,Gilbert/De magnete/Liber 6/cap. 9,Unnamed: 0,File ID,work,Library,Edition,editions.Id,catalogue link,digital copy,request sent,irrelevant,lost/spurious,checked by librarian,scan available,checked by me,pending,has annotations,mutilated/incomplete,analyzed,full digital copy,copy bound with copy of,comment,variations,remarkable,analysis,provenance,public,certainty
1020,18,8,1,1,1,1,6,7,2,2,4,6,3,0,0,8,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,14,7,Deutsches Museum München,Gilbert 1600,35,https://opac.deutsches-museum.de/TouchPoint/perma.do?v=dmm&l=de&q=1035=%22BV008973374%22+IN+%5b2%5d,https://books.google.de/books?id=poPTngzFjTkC&pg=PP3&hl=de&source=gbs_selected_pages&cad=2#v=onepage&q&f=false,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,,"Libri Rari, bestellbar, Lesesaal",,Yes,,,Yes,A+
1026,10,7,5,5,6,2,5,6,2,2,3,4,2,0,2,5,7,4,31,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,2,0,0,0,4,2,2,11,7,10,2,0,0,0,7,20,7,Universitätsbibliothek Leipzig,Gilbert 1600,35,https://katalog.ub.uni-leipzig.de/Record/0-1097144380#holdings,,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,,"Bibliotheca Albertina, wg. Brandschutzmaßnahmen nicht verfügbar 07.2022",,Yes,"Das Exemplar I 10140 stammt aus der Bibliothek des Leipziger Sudhoff-Instituts für die Geschichte der Medizin. Diese Sammlung entstand durch Einkäufe auf dem Antiquariatsmarkt. Das Exemplar ist in einem Pergamentbroschur des 17. Jahrhunderts gebunden. Auf dem vorderen Schmutzblatt befindet sich ein sehr  verblasster Besitzeintrag: E. Wohlmill ? Wohlmuth ? 1864. Ferner gibt es auf diesem Blatt einige bibliographische Angaben (Erwähnungen von Gilbert in anderen Werken). Das Buch selbst hat vereinzelte handschriftliche Randbemerkungen wohl des 18. Jhdts, meist Verweise auf andere Autoren. Eingelegt ist ein handschriftliches Blatt (wohl 19. Jhdt) mit einen längeren Zitat aus Cardanus De Subtilitate.","Sudhoff-Archiv
E. Wohlmill ? Wohlmuth ? 1864",Yes,A
1050,4,7,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,44,7,Universitätsbibliothek Mannheim,Gilbert 1633,37,https://primo.bib.uni-mannheim.de/permalink/f/19ojnqi/MAN_ALMA21288012460002561,http://digi.bib.uni-mannheim.de/urn/urn:nbn:de:bsz:180-digad-35911,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,"Schloss Schneckenhof West
Das Buch ist in sehr gutem Erhaltungszustand und wir erwägen die Digitalisierung des Bandes in absehbahrer Zeit. Ich werde Ihnen dann auch den Link zum Digitalisat zusenden. ",engravings on separate sheets at the end of the binding,,"Wir haben das gewünschte Exemplar überprüft und festgesellt, dass es nur einige sehr wenige handschriftliche Anmerkungen enthält, aber viele Stellen im Text mit blauer Farbe unterstrichen sind.
",,Yes,A+
1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,2,1,1,2,1,0,0,0,1,2,1,1,1,0,1,0,2,0,2,1,0,1,1,15,48,7,Niedersächsische Staats- und Universitätsbibliothek,Gilbert 1633,37,https://opac.sub.uni-goettingen.de/DB=1/LNG=/SRCH?IKT=12&TRM=536908346,https://gdz.sub.uni-goettingen.de/id/PPN772417385,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,,engravings bound within respective chapter,,"219(?)
pages 79 and 80 missing",,Yes,A+
1059,1,2,1,1,2,2,3,3,2,0,1,2,1,0,2,2,4,0,10,1,8,4,1,1,1,0,0,0,2,2,2,0,0,0,0,0,0,0,1,3,2,2,0,0,1,1,0,0,4,1,0,2,2,0,1,1,3,3,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,19,53,7,Staats- und Universitätsbibliothek Hamburg,Gilbert 1633,37,https://kataloge.uni-hamburg.de/DB=1/XMLPRS=N/PPN?PPN=536908346,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,"Ich kann Ihnen leider nicht alle Seiten reproduzieren, denn dann wäre es besser, gleich den kompletten Band digitalisieren zu lassen. Die Qualität wäre dann auch besser. Falls Sie das möchten, wenden Sie sich bitte wieder an meine Kollegin Frau Walther-Ballin. Meist handelt es sich im Buch um Unterstreichungen, gelegentlich gibt es kurze handschriftliche Eintragungen.",engravings on separate sheets at the beginning of the binding,,"Im Band „A/46960“ allerdings gibt es rötliche Unterstreichungen/Durchstreichungen sowie einzelne geschriebene kurze Sätze, Zahlen oder Wörter an den Seitenrändern. Die Tinte und Schrift sind ähnlich dem Besitzvermerk.","Hs. Besitzverm. von Woldeck Weland (aus Verden), Rostock 1633",Yes,A+
1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,4,4,2,2,2,2,3,4,2,0,0,0,0,2,2,4,4,1,1,0,0,2,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,32,80,7,Biblioteca nazionale centrale di Firenze,Gilbert 1633,37,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=UFIE001577,https://books.google.de/books?id=9E9MD5iozI0C&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:eurobo:&rft_dat=xri:eurobo:thumbnails:ita-bnc-mag-00001409-001,engravings bound within respective chapter,,,,Yes,A+
1131,17,0,0,0,0,2,8,2,2,0,0,0,0,0,1,0,0,1,15,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,125,7,Biblioteca comunale Classense,Gilbert 1600,35,https://scoprirete.bibliotecheromagna.it/opac/resource/guilielmi-gilberti-colcestrensis-medici-londinensis-de-magnete-magneticisque-corporibus-et-de-magno-/RAV1308853,,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,,AA: Scans are very bad,,,frequenti sottolineature manoscritte fino a pagina 68; 1 parola annotata sul margine della pagina 18; 3 brevi righe manoscritte sul margine di pagina 35; 2 righe manoscritte sul margine di pagina 63; 1 parola annotata sul margine della pagina 66. Tutte le note sono scritte in latino e con inchiostro marrone; è plausibile che siano della stessa mano.,,Yes,A
1148,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,3,5,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,0,0,0,0,1,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,5,2,0,1,2,53,142,7,Biblioteca del Dipartimento di Matematica Guido Castelnuovo,Gilbert 1600,35,,,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,,,,,ital. leser XVIII vermutlich,,Yes,A
1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,5,6,3,2,4,4,54,143,7,Biblioteca nazionale centrale di Roma,Gilbert 1633,37,,,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,,,,Yes,B. 6 durchgestrichen,,Yes,A
1315,0,0,2,0,0,0,0,0,0,0,0,1,4,4,1,0,0,3,35,4,2,12,5,6,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,11,8,0,0,0,0,0,0,0,0,0,0,1,21,4,0,0,0,0,23,21,6,0,3,8,0,0,3,6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,11,7,15,24,24,29,6,6,30,26,63,313,7,Herzog August Bibliothek Wolfenbüttel,Gilbert 1628,36,https://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=149917368,http://diglib.hab.de/drucke/nc-4f-46/start.htm,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,,Imprint of engraved title page reads 'EXCUSUS...Sumptibus Ioh: Hallervordij'. S-Hallervord-issue,Yes,,Granius,Yes,A+
