Id,polarity,mineralogy,specimen,natural history,medicine,doxography,causal explanation,magnetic force,sphere of activity,attraction/repulsion,theoretical,compass,instrument,direction,practice,declination,navigation,inclination,astronomy/astrology/cosmology,Copernicanism,File ID,work,Library,Edition,editions.Id,catalogue link,digital copy,request sent,irrelevant,lost/spurious,checked by librarian,scan available,checked by me,pending,has annotations,mutilated/incomplete,analyzed,full digital copy,copy bound with copy of,comment,variations,remarkable,analysis,provenance,public,certainty
1013,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,6,7,Staatsbibliothek zu Berlin,Gilbert 1628,36,https://stabikat.de/DB=1/XMLPRS=N/PPN?PPN=092056881,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,,"Zu Ihrer Digitalisierungsanfrage von William Gilbert (My 18): Da das Werk bereits im VD17 Projekt von der Bibliothek in Wolfenbüttel digitalisiert wurde, sehe ich keine Möglichkeit ein kostenfreies vollständiges Digitalisat in Auftrag geben zu lassen. Außerdem bin ich mir nicht sicher, ob die wirklich feinen Anstreichungen im Digitalisat wirklich so gut sichtbar wären. Außerhalb eines Projektes wäre ein Volldigitalisat zwar möglich, doch mit enormen Kosten für Sie verbunden. ",Imprint of engraved title page reads 'EXCUSUS...Sumptibus Ioh: Hallervordij'. S-Hallervord-issue'. S-Hallervord-issue,,"Es enthält Anstreichungen, allerdings sind diese mit einem Bleistift ganz zart gemacht worden oder im Nachhinein wurde versucht sie zu tilgen (Arbeitsfotos im Anhang). Außerdem wurde bei Paginierfehlern oder schlecht lesbarer Seitenzählung handschriftlich korrigiert",,Yes,B
1020,0.15173674588665442,0.1389396709323583,0.1389396709323583,0.1389396709323583,0.1389396709323583,0.1389396709323583,0.029250457038391235,0.029250457038391235,0.012797074954296167,0.012797074954296167,0.029250457038391235,0.0018281535648994524,0.0018281535648994524,0.0,0.0018281535648994524,0.0,0.0,0.0018281535648994524,0.016453382084095074,0.016453382084095074,14,7,Deutsches Museum München,Gilbert 1600,35,https://opac.deutsches-museum.de/TouchPoint/perma.do?v=dmm&l=de&q=1035=%22BV008973374%22+IN+%5b2%5d,https://books.google.de/books?id=poPTngzFjTkC&pg=PP3&hl=de&source=gbs_selected_pages&cad=2#v=onepage&q&f=false,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,,"Libri Rari, bestellbar, Lesesaal",,Yes,,,Yes,A+
1021,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7,Staats- und Stadtbibliothek Augsburg,Gilbert 1600,35,https://sbaoz2.bib-bvb.de/webOPACClient.sbasis/start.do?Login=wosba&Query=10%3D%22BV008973374%22,"https://www.digitale-sammlungen.de/de/view/bsb11200549?page=,1",No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,,bestellbar Lesesaal,,,,,Yes,A+
1024,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.18181818181818177,0.18181818181818177,0.0909090909090909,0.18181818181818177,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,18,7,Kunstbibliothek,Gilbert 1600,35,https://opac.smb.spk-berlin.de/LNG=/SRCH?IKT=12&TRM=14991735X,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,,Kunstbibliothek - Sammlung Grisebach - Bereitstellung am Folgetag,,,,,Yes,B
1026,0.12024048096192363,0.07314629258517037,0.07314629258517037,0.07314629258517037,0.07314629258517037,0.07314629258517037,0.08717434869739481,0.07715430861723448,0.043086172344689366,0.043086172344689366,0.07715430861723448,0.027054108216432844,0.027054108216432844,0.004008016032064124,0.027054108216432844,0.010020040080160308,0.010020040080160308,0.0130260521042084,0.034068136272545076,0.034068136272545076,20,7,Universitätsbibliothek Leipzig,Gilbert 1600,35,https://katalog.ub.uni-leipzig.de/Record/0-1097144380#holdings,,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,,"Bibliotheca Albertina, wg. Brandschutzmaßnahmen nicht verfügbar 07.2022",,Yes,"Das Exemplar I 10140 stammt aus der Bibliothek des Leipziger Sudhoff-Instituts für die Geschichte der Medizin. Diese Sammlung entstand durch Einkäufe auf dem Antiquariatsmarkt. Das Exemplar ist in einem Pergamentbroschur des 17. Jahrhunderts gebunden. Auf dem vorderen Schmutzblatt befindet sich ein sehr  verblasster Besitzeintrag: E. Wohlmill ? Wohlmuth ? 1864. Ferner gibt es auf diesem Blatt einige bibliographische Angaben (Erwähnungen von Gilbert in anderen Werken). Das Buch selbst hat vereinzelte handschriftliche Randbemerkungen wohl des 18. Jhdts, meist Verweise auf andere Autoren. Eingelegt ist ein handschriftliches Blatt (wohl 19. Jhdt) mit einen längeren Zitat aus Cardanus De Subtilitate.","Sudhoff-Archiv
E. Wohlmill ? Wohlmuth ? 1864",Yes,A
1027,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,7,Klassik Stiftung Weimar / Herzogin Anna Amalia Bibliothek,Gilbert 1600,35,https://opac.lbs-weimar.gbv.de/DB=2/XMLPRS=N/PPN?PPN=14991735X,https://haab-digital.klassik-stiftung.de/viewer/epnresolver?id=1649788495,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,sog. Aschebücher (nach Brand versucht zu retten und digitalisiert) ,,,,,Yes,A+
1050,0.13496932515337418,0.06441717791411043,0.06441717791411043,0.06441717791411043,0.06441717791411043,0.06441717791411043,0.09509202453987728,0.06441717791411043,0.061349693251533756,0.061349693251533756,0.06441717791411043,0.03987730061349695,0.03987730061349695,0.009202453987730065,0.03987730061349695,0.03067484662576689,0.03067484662576689,0.0,0.0030674846625766885,0.0030674846625766885,44,7,Universitätsbibliothek Mannheim,Gilbert 1633,37,https://primo.bib.uni-mannheim.de/permalink/f/19ojnqi/MAN_ALMA21288012460002561,http://digi.bib.uni-mannheim.de/urn/urn:nbn:de:bsz:180-digad-35911,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,"Schloss Schneckenhof West
Das Buch ist in sehr gutem Erhaltungszustand und wir erwägen die Digitalisierung des Bandes in absehbahrer Zeit. Ich werde Ihnen dann auch den Link zum Digitalisat zusenden. ",engravings on separate sheets at the end of the binding,,"Wir haben das gewünschte Exemplar überprüft und festgesellt, dass es nur einige sehr wenige handschriftliche Anmerkungen enthält, aber viele Stellen im Text mit blauer Farbe unterstrichen sind.
",,Yes,A+
1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,45,7,Max-Planck-Institut für Wissenschaftsgeschichte,Gilbert 1633,37,https://vzlbs3.gbv.de/DB=12.1/LNG=/SRCH?IKT=12&TRM=868922412,https://doi.org/10.48644/868383732,No,No,No,No,Yes,No,No,No,No,Yes,Yes,,,engravings bound within respective chapter,,,,Yes,A+
1054,0.0,0.0,0.0,0.0,0.0,0.0,0.13414634146341461,0.048780487804878064,0.0,0.0,0.048780487804878064,0.14634146341463414,0.14634146341463414,0.0,0.14634146341463414,0.0853658536585366,0.0853658536585366,0.06097560975609759,0.048780487804878064,0.048780487804878064,48,7,Niedersächsische Staats- und Universitätsbibliothek,Gilbert 1633,37,https://opac.sub.uni-goettingen.de/DB=1/LNG=/SRCH?IKT=12&TRM=536908346,https://gdz.sub.uni-goettingen.de/id/PPN772417385,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,,engravings bound within respective chapter,,"219(?)
pages 79 and 80 missing",,Yes,A+
1055,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,7,Herzog August Bibliothek Wolfenbüttel,Gilbert 1633,37,https://opac.lbs-braunschweig.gbv.de/DB=2/LNG=/SRCH?IKT=12&TRM=149917376,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,,Im Band Nc 4° 46a gibt es wenige Anstreichungen mit Bleistift auf den Seiten 22/23 in Cap. VII. ,,,,,Yes,B
