TagCodeA,TagCodeB,DescriptionA,DescriptionB,PMI
EA,EB,text,abstract elements,0.039786494695448496
EA,EBA,text,geometric shapes,0.05007925644829282
EA,MAA,text,integrated in the layout,-0.011116240170466246
EA,MCA,text,woodcut,-0.00652300368819689
EAD,EB,words,abstract elements,0.16849953927207886
EAD,EBA,words,geometric shapes,0.28587080734026094
EAD,MAA,words,integrated in the layout,-0.25276607037996673
EAD,MCA,words,woodcut,-0.11960441130973314
EB,MAA,abstract elements,integrated in the layout,0.002121423552105032
EB,MCA,abstract elements,woodcut,0.04980978749619437
EBA,MAA,geometric shapes,integrated in the layout,0.00388145782304256
EBA,MCA,geometric shapes,woodcut,0.06214069926830145
MAA,MCA,integrated in the layout,woodcut,0.039533526597348594
EC,ED,concrete elements,plasticity,0.5270792888221846
EC,EDA,concrete elements,light/shadow,0.5382467038461138
EC,MAA,concrete elements,integrated in the layout,0.010268335453827063
EC,MAB,concrete elements,part of a set,-0.2143127457837383
EC,MCA,concrete elements,woodcut,-0.045572569207004254
ECA,ED,physical objects,plasticity,0.5298778555632891
ECA,EDA,physical objects,light/shadow,0.5447510977570041
ECA,MAA,physical objects,integrated in the layout,0.019076793071086253
ECA,MAB,physical objects,part of a set,-0.20785108826247406
ECA,MCA,physical objects,woodcut,-0.04766927195397989
ED,MAA,plasticity,integrated in the layout,0.017441908060068057
ED,MAB,plasticity,part of a set,-0.4772105706464303
ED,MCA,plasticity,woodcut,-0.06402330216823139
EDA,MAA,light/shadow,integrated in the layout,0.014348154473994299
EDA,MAB,light/shadow,part of a set,-0.4632058289249584
EDA,MCA,light/shadow,woodcut,-0.07122498601974327
MAA,MAB,integrated in the layout,part of a set,-0.13669551754517428
MAB,MCA,part of a set,woodcut,0.04367698215970603
EA,EC,text,concrete elements,-0.023800995120032514
EA,ECA,text,physical objects,-0.026902454661072814
EA,ED,text,plasticity,-0.03619126453280536
EA,EDA,text,light/shadow,-0.03426035796507682
EA,EDB,text,3d and perspective,-0.02571413031735903
EA,MAB,text,part of a set,0.06263006727488596
EAA,EC,letters,concrete elements,0.003032885137416463
EAA,ECA,letters,physical objects,0.013103454171754443
EAA,ED,letters,plasticity,0.01169709680906592
EAA,EDA,letters,light/shadow,0.014601757811694316
EAA,EDB,letters,3d and perspective,0.008974733269653003
EAA,MAA,letters,integrated in the layout,0.031916898758590405
EAA,MAB,letters,part of a set,-0.04344646491712158
EAA,MCA,letters,woodcut,0.002807128929947106
EC,EDB,concrete elements,3d and perspective,0.5656547427117977
ECA,EDB,physical objects,3d and perspective,0.5907503731313626
EDA,EDB,light/shadow,3d and perspective,0.7167654189823272
EDB,MAA,3d and perspective,integrated in the layout,-0.007127904823686534
EDB,MAB,3d and perspective,part of a set,-0.8636235889995685
EDB,MCA,3d and perspective,woodcut,-0.2010667912479404
