,0,1
0,"('EA', 'MCA')",1001
1,"('MAA', 'MCA')",991
2,"('EA', 'MAA')",971
3,"('EAA', 'MCA')",852
4,"('EAA', 'MAA')",846
5,"('EA', 'EB')",775
6,"('EB', 'MCA')",769
7,"('EB', 'MAA')",724
8,"('EA', 'EC')",715
9,"('EC', 'MAA')",702
10,"('EA', 'ECA')",697
11,"('EC', 'MCA')",694
12,"('ECA', 'MAA')",690
13,"('ECA', 'MCA')",677
14,"('EC', 'ED')",661
15,"('EAA', 'EB')",651
16,"('ECA', 'ED')",647
17,"('EC', 'EDA')",643
18,"('EA', 'EBA')",631
19,"('ECA', 'EDA')",631
20,"('EA', 'ED')",628
21,"('EBA', 'MCA')",627
22,"('ED', 'MAA')",625
23,"('EAA', 'EC')",616
24,"('ED', 'MCA')",607
25,"('EA', 'EDA')",607
26,"('EAA', 'ECA')",606
27,"('EDA', 'MAA')",602
28,"('EBA', 'MAA')",586
29,"('EDA', 'MCA')",583
30,"('EAA', 'ED')",549
31,"('EAA', 'EBA')",539
32,"('EAA', 'EDA')",531
33,"('EB', 'EC')",422
34,"('EB', 'ECA')",408
35,"('EB', 'ED')",361
36,"('EB', 'EDA')",344
37,"('EC', 'EDB')",337
38,"('ECA', 'EDB')",335
39,"('EDA', 'EDB')",320
40,"('EA', 'EDB')",314
41,"('EDB', 'MAA')",305
42,"('EBA', 'EC')",285
43,"('EAB', 'EB')",278
44,"('EAB', 'MCA')",277
45,"('EDB', 'MCA')",274
46,"('EBA', 'ECA')",274
47,"('EAA', 'EDB')",272
48,"('EAB', 'MAA')",255
49,"('EBA', 'ED')",245
50,"('EAB', 'EBA')",237
51,"('EAA', 'EAB')",237
52,"('EBA', 'EDA')",232
53,"('EAB', 'EC')",199
54,"('EAB', 'ECA')",193
55,"('EA', 'MAB')",182
56,"('MAB', 'MCA')",177
57,"('MAA', 'MAB')",152
58,"('EAB', 'ED')",145
59,"('EAA', 'MAB')",143
60,"('EB', 'EDB')",143
61,"('EAD', 'MCA')",142
62,"('EAB', 'EDA')",141
63,"('EB', 'MAB')",131
64,"('EAD', 'EB')",130
65,"('EAD', 'MAA')",126
66,"('EAD', 'EBA')",114
67,"('EC', 'MAB')",107
68,"('ECA', 'MAB')",105
69,"('EAD', 'EC')",105
70,"('EAB', 'EDB')",102
71,"('EAB', 'MAB')",102
72,"('EAA', 'EAD')",99
73,"('EAD', 'ECA')",95
74,"('ECA', 'ECB')",95
75,"('EA', 'ECB')",94
76,"('ECB', 'ED')",92
77,"('EA', 'MAG')",90
78,"('ECB', 'EDA')",90
