id,x,y
414314-16412929-1,0.8461448,0.10087383
414314-16412931-2,0.16482827,0.9801649
414314-16412931-3,0.15071082,0.67597544
414314-16412935-4,0.27537513,0.55234313
414314-16412935-5,0.23485148,0.52152956
414314-16412935-6,0.23485127,0.52152985
414314-16412937-7,0.2850835,0.6035544
414314-16412938-8,0.17518198,0.9133903
414314-16412943-9,0.17517975,0.91339004
414314-16412945-10,0.16189572,0.8327824
414314-16412947-11,0.15913782,0.8382696
414314-16412949-12,0.17519361,0.91338366
414314-16412951-13,0.15913913,0.8382686
414105-16373250-19,0.27275807,0.9396843
414105-16373338-20,0.45664808,0.70152295
414105-16373348-21,0.42033523,0.7724722
414105-16373407-22,0.44202897,0.45174316
414105-16373473-23,0.21017271,0.92361575
414105-16373498-24,0.44203064,0.45173818
414105-16373501-25,0.44202328,0.45174125
414105-16373537-26,0.62379223,0.23553303
414105-16373544-27,0.6237923,0.23553401
414105-16373544-28,0.62073225,0.24036989
414105-16373545-29,0.6237921,0.23553404
414105-16373551-30,0.81449693,0.23045689
414105-16373558-31,0.54698724,0.7824391
414105-16373561-32,0.4825639,0.70218927
414105-16373573-33,0.6143174,0.4748447
414105-16373577-34,0.46820825,0.716434
414105-16373577-35,0.3055148,0.7717788
414105-16373581-36,0.4715467,0.6500844
414105-16373588-38,0.1751984,0.9133809
414105-16373592-39,0.1751988,0.9133813
414105-16373600-40,0.47154132,0.65009
414105-16373610-41,0.53374314,0.78278565
414105-16373618-42,0.46816286,0.71655405
414105-16373621-43,0.42034122,0.7724695
414105-16373626-44,0.46647397,0.71639025
414105-16373637-45,0.47155622,0.65010184
414105-16373639-46,0.61431384,0.47484794
414105-16373676-47,0.80788004,0.20423028
414105-16373680-48,0.47199747,0.71671635
414105-16373683-49,0.4802885,0.71123344
414105-16373683-50,0.4716287,0.7167462
414105-16373685-51,0.721419,0.23964295
414105-16373696-53,0.48009235,0.7116123
414105-16373698-54,0.47110584,0.7167756
414105-16373698-55,0.21688041,0.746354
414105-16373704-56,0.47154012,0.65011656
414105-16373705-57,0.6237902,0.23553333
414105-16373709-58,0.45740014,0.70692664
414105-16373713-59,0.18711963,0.75924826
414105-16373713-60,0.643122,0.5064303
414105-16373714-61,0.46344942,0.69098663
414105-16373719-62,0.5203943,0.68976355
414105-16373722-63,0.8044903,0.20194954
414105-16373723-64,0.84163594,0.29005936
414105-16373723-65,0.8416383,0.29005572
414105-16373725-66,0.61405724,0.24502695
414105-16373725-67,0.6140582,0.2450256
414105-16373737-68,0.1344004,0.83061266
414105-16373756-69,0.8416393,0.2900561
414105-16373756-70,0.84164166,0.29005238
414105-16373764-71,0.6237857,0.23553827
414105-16373769-72,0.3629102,0.6729303
414105-16373787-73,0.47628158,0.6915791
414105-16373788-74,0.48015052,0.7114323
414105-16373788-75,0.7967213,0.19741467
414105-16373793-76,0.81442344,0.2311576
414105-16373793-77,0.46039093,0.7119026
414105-16373796-78,0.5007821,0.65099835
414105-16373797-79,0.81012243,0.20900646
414105-16373807-80,0.61431617,0.4748541
414105-16373810-81,0.47290868,0.6899727
414105-16373815-82,0.4203387,0.772477
414105-16373835-83,0.5048527,0.91049784
414105-16373839-84,0.48238948,0.9111831
414105-16373847-85,0.66875327,0.4395172
414105-16373872-86,0.5007867,0.6510172
414105-16373876-87,0.4859685,0.9132372
414105-16373885-88,0.81455845,0.22698575
414105-16373886-89,0.72142065,0.23964268
414105-16373886-90,0.78564984,0.19515854
414105-16373892-91,0.45690656,0.7047073
414105-16373894-92,0.54700774,0.78241926
414105-16373895-93,0.5098671,0.9050002
414105-16373903-94,0.47542977,0.69097054
414105-16373912-95,0.56501913,0.71636903
414105-16373913-96,0.81426144,0.2237218
414105-16373914-97,0.8077179,0.24663007
414105-16373925-98,0.8966206,0.34802413
414105-16373929-99,0.6755628,0.48162213
414105-16373936-100,0.21019343,0.92362
414105-16373947-101,0.79272664,0.19555989
414105-16373994-102,0.46809945,0.7164639
414105-16373997-103,0.46060035,0.7122152
414105-16374000-104,0.46824723,0.7164315
414105-16374017-105,0.48043838,0.71100134
414105-16374019-106,0.46211463,0.7136899
414105-16374035-107,0.8121071,0.21564811
414105-16374042-108,0.786082,0.19522479
414105-16374043-109,0.7662367,0.2432794
414105-16374043-110,0.76913846,0.20269275
414312-16412845-616,0.8432302,0.0020751357
414312-16412864-617,0.78748894,0.22632536
414312-16412870-618,0.82642126,0.14168653
414312-16412886-619,0.19118208,0.7345072
414312-16412887-620,0.21688724,0.7464398
414312-16412889-621,0.13167205,0.74603856
414312-16412890-622,0.2162509,0.92561126
414312-16412969-623,0.82641923,0.1416876
414312-16412974-624,0.7741098,0.14742997
414312-16412980-625,0.4203477,0.77248067
414312-16412982-626,0.5397808,0.49565494
484844-19997757-627,0.4607372,0.9466788
484844-19997777-628,0.5038553,0.8343736
484844-19997783-629,0.9572245,0.24820194
484844-19997783-630,0.95722365,0.24820271
484844-19997783-631,0.95722353,0.24820414
484844-19997783-632,0.9572209,0.24820423
484844-19997783-633,0.95723814,0.24818167
484844-19997783-634,0.9572446,0.24819496
484844-19997783-635,0.95723903,0.24818093
484844-19997783-636,0.9450983,0.21548712
484844-19997783-637,0.95722616,0.24819115
484844-19997783-638,0.957226,0.24819115
484844-19997783-639,0.95722604,0.24818975
484844-19997783-640,0.95718586,0.2482031
484844-19997792-641,0.8620389,0.14728695
484844-19997792-642,0.9780681,0.20163393
484844-19997792-643,0.9780659,0.20163569
484844-19997792-644,0.49202946,0.39489752
484844-19997792-645,0.978067,0.20163843
484844-19997792-646,0.25961164,0.8702791
484844-19997792-647,0.49202916,0.39490053
484844-19997792-648,0.978067,0.20163843
484844-19997792-649,0.9780669,0.20163843
484844-19997792-650,0.9780594,0.20163482
484844-19997792-651,0.5060155,0.39680505
484844-19997792-652,0.5060189,0.3968081
484844-19997792-653,0.978053,0.2016274
484844-19997792-654,0.49203086,0.394898
484844-19997792-655,0.9780531,0.20162725
484844-19997792-656,0.49203208,0.39489704
484844-19997792-657,0.995723,0.19209474
484844-19997792-658,0.50602454,0.39680707
484844-19997792-659,0.25960916,0.87027615
484844-19997792-660,0.25236198,0.86664224
484844-19997792-661,0.49203137,0.39489836
484844-19997792-662,0.26042637,0.87897706
484844-19997808-663,0.95722055,0.24819133
484844-19997808-664,0.9572195,0.24819332
484844-19997808-665,0.9572217,0.24819362
484844-19997808-666,0.9572216,0.24819216
484844-19997808-667,0.957186,0.24820161
484844-19997808-668,0.9571897,0.24820095
484844-19997808-669,0.9571888,0.24820152
484844-19997808-670,0.95718753,0.24820232
484844-19997808-671,0.95718753,0.24820232
484844-19997808-672,0.97806656,0.20164019
484844-19997808-673,0.97806656,0.2016395
484844-19997808-1815,0.95719016,0.24820134
484844-19997833-674,0.5248034,0.9110255
484844-19997833-675,0.5248012,0.91102517
484844-19997833-676,0.9789747,0.32822698
484844-19997842-677,0.49733457,0.7882067
484844-19997848-678,0.5247978,0.91102546
484844-19997848-679,0.51694876,0.91615367
484844-19997848-680,0.9895838,0.31960994
484844-19997848-681,0.5103414,0.9262444
484844-19997848-682,0.51034063,0.9262451
484844-19997848-683,0.98958665,0.31960905
484844-19997856-684,0.9789723,0.32822978
484844-19997856-685,0.9789723,0.32822978
484844-19997859-686,0.9789746,0.32822716
484844-19997859-687,0.9789746,0.32822716
484844-19997859-688,0.9789746,0.32822716
484844-19997859-689,0.9789748,0.32822463
484844-19997859-690,0.9789721,0.32822913
484844-19997859-691,0.978972,0.3282292
484844-19997864-692,0.9756123,0.33659858
484844-19997864-693,0.9789721,0.32822913
484844-19997864-694,0.978972,0.3282292
484844-19997867-695,0.9789721,0.32822913
484844-19997867-696,0.9789721,0.32822913
484844-19997867-697,0.97897303,0.3282287
484844-19997891-698,0.9450848,0.21549645
484844-19997891-699,0.9957113,0.1920993
484844-19997891-700,0.9572084,0.24819613
484844-19997891-701,0.97805166,0.2016438
484844-19997891-702,0.4920259,0.3949053
484844-19997891-703,0.4920258,0.39490396
484844-19997891-704,0.99571264,0.1920979
484844-19997891-705,0.9780501,0.20164385
484844-19997891-706,0.9957114,0.19209886
484844-19997891-707,0.95719105,0.24819869
484844-19997891-708,0.9572058,0.24819475
484844-19997891-709,0.95719385,0.24819642
484844-19997891-710,0.95719385,0.24819642
484844-19997925-711,0.6428562,0.7754192
484844-19997925-712,0.64285797,0.7754175
484844-19997925-713,0.7195966,0.10642314
484844-19997942-714,0.82639813,0.14169285
484844-19997947-715,0.82744485,0.12837064
484844-19997947-716,0.9407121,0.3500949
484844-19997954-717,0.49935645,0.92211413
484844-19997977-718,0.3184499,0.8623792
484844-19997987-719,0.94849694,0.35456944
484844-19998004-720,0.8908829,0.24083853
484844-19998011-721,0.72004926,0.5075749
