id,tsne-2d-one,tsne-2d-two
410634-16256026-747,-21.185171,23.323717
410634-16256063-748,11.816576,44.38652
410634-16256065-749,10.851884,43.720947
410634-16256068-750,29.918657,7.007298
410634-16256077-751,8.173279,40.028706
414105-16373250-19,10.827783,-23.748074
414105-16373338-20,42.34232,-24.070814
414105-16373348-21,-14.623724,-0.8690146
414105-16373407-22,25.242508,-29.606169
414105-16373473-23,-7.539272,-33.229374
414105-16373498-24,12.198497,-32.22609
414105-16373501-25,12.909834,-32.71013
414105-16373537-26,-1.9881288,-42.917885
414105-16373544-27,44.678074,-23.564873
414105-16373544-28,44.780937,-25.233328
414105-16373545-29,18.031807,33.48138
414105-16373551-30,8.654148,10.206698
414105-16373558-31,20.885605,32.08686
414105-16373561-32,29.001787,21.02037
414105-16373573-33,24.520685,8.322254
414105-16373577-34,37.70518,-20.275455
414105-16373577-35,40.731785,-16.744747
414105-16373581-36,42.70879,-28.837769
414105-16373588-38,-37.08302,-34.076134
414105-16373592-39,-37.14669,-33.689514
414105-16373600-40,41.837982,-30.308414
414105-16373610-41,12.808843,23.70913
414105-16373618-42,45.122036,-19.443438
414105-16373621-43,-5.7006187,6.5400195
414105-16373626-44,46.185867,-20.083824
414105-16373637-45,41.74671,-30.49593
414105-16373639-46,-39.635624,-41.446453
414105-16373676-47,33.141315,5.0366073
414105-16373680-48,36.0334,13.735877
414105-16373683-49,34.50589,5.171214
414105-16373683-50,-19.696764,-4.112902
414105-16373685-51,24.645458,13.652554
414105-16373696-53,42.59595,-20.476091
414105-16373698-54,39.77831,-24.336302
414105-16373698-55,9.699595,-38.649166
414105-16373704-56,42.995693,-28.346472
414105-16373705-57,36.673096,-19.496151
414105-16373709-58,23.855053,-20.396849
414105-16373713-59,1.5402418,-29.935005
414105-16373713-60,29.390385,1.2578508
414105-16373714-61,-9.115853,5.5060997
414105-16373719-62,-20.778116,-6.9258537
414105-16373722-63,33.273277,3.8172534
414105-16373723-64,32.55935,3.6758156
414105-16373723-65,31.832499,6.119536
414105-16373725-66,39.43612,-22.468542
414105-16373725-67,11.364622,3.6232576
414105-16373737-68,-20.819845,22.68624
414105-16373756-69,36.09126,0.79516554
414105-16373756-70,35.750393,3.1892538
414105-16373764-71,-1.5219568,5.332597
414105-16373769-72,19.943283,-38.12283
414105-16373787-73,-10.162712,6.9985585
414105-16373788-74,-9.326481,6.15481
414105-16373788-75,31.380878,8.394905
414105-16373793-76,37.538063,1.763916
414105-16373793-77,-1.1637719,6.108176
414105-16373796-78,26.686934,18.410242
414105-16373797-79,37.619072,-1.8191712
414105-16373807-80,12.1448345,18.323605
414105-16373810-81,-11.679686,5.5104656
414105-16373815-82,4.103528,-30.278801
414105-16373835-83,17.299505,34.54724
414105-16373839-84,8.219037,2.6645525
414105-16373847-85,1.5355517,9.170172
414105-16373872-86,11.15694,-2.0483675
414105-16373876-87,-3.268831,22.859898
414105-16373885-88,35.331818,1.765708
414105-16373886-89,35.890743,-7.9547
414105-16373886-90,36.861073,-0.27492243
414105-16373892-91,1.7229323,6.8067737
414105-16373894-92,20.782076,33.19377
414105-16373895-93,24.331772,33.020855
414105-16373903-94,36.26869,-21.499378
414105-16373912-95,-9.868596,4.843186
414105-16373913-96,21.885029,9.85175
414105-16373914-97,26.911495,15.815019
414105-16373925-98,-3.3336842,10.152448
414105-16373929-99,28.120663,39.726475
414105-16373936-100,-37.510952,-35.884583
414105-16373947-101,29.049185,18.399971
414105-16373994-102,5.699636,8.320663
414105-16373997-103,3.617982,11.660481
414105-16374000-104,1.5735986,6.567977
414105-16374017-105,20.819141,34.081505
414105-16374019-106,-3.951938,5.352382
414105-16374035-107,30.316029,30.472076
414105-16374042-108,24.105955,17.204357
414105-16374043-109,30.685488,45.49939
414105-16374043-110,30.442755,45.252865
414309-16413051-1971,-22.554102,30.86176
414309-16413072-1972,24.016554,-40.10146
414309-16413072-1973,9.542456,-45.452904
414309-16413073-1974,12.802718,-43.54024
414309-16413075-1975,-33.790043,-30.246662
414309-16413075-1976,19.001902,-46.033875
414309-16413077-1977,11.584761,-37.723164
414309-16413077-1978,-33.71802,-30.707
414309-16413078-1979,7.193347,18.69848
414309-16413080-1980,34.17599,20.052603
414309-16413081-1981,34.97255,-2.2545578
414309-16413082-1982,24.568878,-42.759266
414309-16413083-1983,43.814983,-24.0205
414309-16413083-1984,15.446692,-46.905674
414309-16413084-1985,11.501835,-40.387947
414309-16413084-1986,42.201515,-22.194715
414309-16413091-1987,-13.595707,24.627344
414309-16413100-1988,-24.775837,-23.398016
414309-16413111-1989,23.74187,-20.583612
414309-16413113-1990,24.252186,-13.319627
414309-16413115-1991,-30.24356,-33.64997
414309-16413116-1992,30.472227,-2.1664872
414309-16413117-1993,26.800968,26.244413
414309-16413118-1994,35.26733,-0.38460514
414309-16413119-1995,35.55723,4.1282315
414309-16413120-1996,28.333736,-4.4305167
414309-16413124-1997,-18.035093,28.339104
414309-16413129-1998,-25.859173,13.510983
414309-16413131-1999,36.250317,11.843443
414309-16413134-2000,43.931145,-21.242664
414309-16413145-2001,-4.6575694,18.548698
414309-16413147-2002,-15.04134,-9.372888
414309-16413149-2003,30.560755,18.724176
414309-16413152-2004,24.78508,41.08074
414309-16413153-2005,28.402454,32.85896
414309-16413155-2006,32.138695,1.2719755
414309-16413159-2007,-18.106081,23.385405
414309-16413162-2008,29.57765,8.2486725
414309-16413175-2009,11.514862,-46.43222
414309-16413176-2010,12.955685,-44.354584
414309-16413176-2011,11.810796,-45.779907
414309-16413178-2012,15.821085,-45.95932
414309-16413178-2013,21.66266,-35.966564
414309-16413179-2014,-14.428523,-8.92456
414309-16413180-2015,-14.906168,-9.733265
414309-16413194-2016,1.0393524,-25.366394
414309-16413206-2017,15.422926,-40.910976
414309-16413208-2018,18.371696,-41.144123
414309-16413212-2019,18.020643,-40.322666
414309-16413214-2020,29.254797,-4.0343046
414309-16413219-2021,14.058909,-42.010677
414309-16413221-2022,17.185057,-0.088107884
414309-16413223-2023,27.608143,-2.2262168
414309-16413227-2024,17.358278,-16.12656
414309-16413230-2025,19.960274,-46.000923
414309-16413233-2026,16.996813,-16.324663
414309-16413237-2027,30.634556,-3.313169
414309-16413242-2028,13.027898,-3.8129337
414309-16413254-2029,22.271774,-23.612122
414309-16413261-2030,9.550697,-39.934006
414309-16413270-2031,-1.1046872,-40.126587
414309-16413275-2032,-23.990309,-36.301025
414309-16413282-2033,43.30745,-19.456259
414309-16413299-2034,9.803745,-31.90228
414309-16413300-2035,8.714875,-32.08157
414309-16413304-2036,9.424743,-31.22665
414309-16413324-2037,24.086636,-40.879597
414309-16413329-2038,16.62974,-43.830944
414309-16413329-2039,19.590588,-45.078312
414309-16413331-2040,24.20557,-41.42899
414309-16413332-2041,24.878391,10.044379
414309-16413338-2042,21.64955,-43.14716
414309-16413339-2043,23.914768,-22.158234
414309-16413343-2044,-32.36715,-30.097626
414309-16413344-2045,16.839119,-44.87817
414309-16413346-2046,40.8885,-19.800129
414309-16413349-2047,13.559581,-45.36112
414309-16413353-2048,17.621279,-44.877655
414309-16413360-2049,-18.294891,24.300404
414309-16413365-2050,46.458294,-22.250278
414309-16413369-2051,41.217705,-22.829552
414309-16413370-2052,38.07218,-2.9442508
414309-16413374-2053,-2.8792388,-40.181267
414309-16413375-2054,20.106405,-40.970425
414309-16413386-2055,45.57549,-21.623438
414309-16413390-2056,0.34605256,-37.215504
414309-16413390-2057,44.31993,-21.93331
414309-16413399-2058,20.702211,-45.020145
414309-16413399-2059,45.97646,-22.835093
414309-16413401-2060,15.7397585,-18.226326
414309-16413403-2061,-2.0837505,-38.001976
