"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LSQPNW95","book","1585","Borough, William","A discourse of the variation of the cumpas, or Magneticall Needle. Wherin is Mathematically shewed, the maner of the observation, effectes, and application thereof, made up W. B. Wm. Borough.","","","","","","","1585","2020-08-31 13:40:20","2020-12-17 11:18:11","2015-12-16 19:38:51","","","","","","","A discourse of the variation of the cumpas","","","","","Thomas East; Robert Ballard","London","English","","","","","Open WorldCat","","Imprinted by T. East for R. Ballard.  1585","","","https://www.proquest.com/eebo/docview/2264176496?&imgSeq=1","England; Navigation; Kompass; Norman; Instrument; Abweichung; Handbuch; Inklination; Azoren; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCIFCWHI","book","1673","Albrecht, Andreas","Eigentlicher Abriss und Beschreibung eines sehr nützlich und nothwendigen Instruments zur Mechanica: so auf eine Schreib-Taffel gerichtet und zum Feldmessen, Vestung-aussstecken, Hoch und Tieff messen, Land und Wasser abwegen: ingleichen auch zur Perspectiv und andern gar füglich zu gebrauchen","","","","","","","1673","2020-08-31 13:40:20","2020-11-30 09:36:06","2018-08-10 09:03:28","","","","","","","Eigentlicher Abriss","","","","","Paul Fürstens; Christoff Gerhard","Nuremberg","German","","","","","Open WorldCat","","Nürnberg/ In Verlegung Paul Fürstens Kunst- und Buchhändlers seel. Wittib und Erben: Gedruckt bey Christoff Gerhard / 1673.","","","https://www.e-rara.ch/i3f/v20/274088/manifest","Kompass; Abbildung; Geographie; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE; tr_","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HE3PFCMZ","book","1639","Sandt, Maximilian van der","Maria Mundus Mysticus.","","","","","","","1639","2020-08-31 13:40:20","2020-11-26 14:54:39","","","","","","","","Maria Mvndvs Mysticvs","","","","","Kinchius","Coloniae Agrippinae","Latin","","","","","Open WorldCat","","Coloniae. Apud Ioannem Kinkiamo Anno MDCXXXIX.","","","https://hdl.handle.net/2027/ucm.5325007553","Jesuiten; Theologie; Maria; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TH4RHUZQ","book","1747","Martin, Benjamin","Philosophia britannica: or, A new & comprehensive system of the Newtonian philosophy, astronomy & geomgraphy In a course of twelve lectures, with notes, containing the physical, mechanical, geometrical, & experimental proofs & illustrations of all the principal propositions in every branch of natural science. Also a particular account of the invention ... of all the considerable instruments, engines, & machines","","","","","","","1747","2020-08-31 13:40:20","2020-11-30 09:52:31","2018-05-31 15:01:42","","","","1","2","","Philosophia britannica","","","","","C. Micklewright & Co.","Reading","English","","","","","Open WorldCat","","Printed by C. Micklewright & Co. for the author","","","https://babel.hathitrust.org/cgi/pt?id=mdp.39015009239321&view=1up&seq=2","Physik; Newton; England; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ML6P9F8Z","book","1689","Meyer, Cornelio","Nuovi ritrovamenti : nelli quali si favella: 1. De gli occhiali atti ad ogni vista, 2. Delle mole, che macinano mediante la corrente dell'acque, 3. De gli argini, delle loro rotture, e come si ristaurano, 4. Di profondare l'alvei de i fiumi à commodo della navigatione, 5. Delle carrette, e calessi, e come si possano far tirare con poco aggravio de gli animali : 6. Del fabricar commodo, e camera con ottanta commodità, 7. Del corso delle comete, e della loro predittione, 8. Dell'introduttione dell'arte della seta, e dell'utile, che ne proviene, 9. Dell'unire le diramationi dell'acque, di farle inalzare, e di condurle à Roma, 10. Delle medicine per fanare le malatie, e per far morire li vermicciuoli generati dall'ova de gli animali / dati in luce dall'ingegneiro Cornelio Meyer per eccitare l'ingegno de'virtuosi ad augmentarli, ò aggiungervi maggior perfettione","","","","","","","1689","2020-08-31 13:40:20","2020-11-27 09:31:08","","","","","","","","Nuovi ritrovamenti","","","","","Giacomo Komarek","Roma","Italian","","","","","Open WorldCat","","In Roma: Nella Stamperia di Gio: Giacomo Komarek Boëmo all'Angelo Custode, 1689.","","","https://www.e-rara.ch/i3f/v20/4098292/manifest","Galileo; Abbildung; Museum; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGM7XG4U","book","1632","Remmelin, Johann Ludwig","Instrumentum Magneticum, Das ist: Bequem Instrument, dardurch allein durch die Magnetzungen, ohne Hilff der Sonnen, Mons oder Sternen, aller Orth in Welt die Latitudo oder Eleuatio Poli zuerkundigen: Sonderlich den Schiff: unnd Stewrleuten auff dem Meer dienlich, als so hierdurch under wehrender grosser Ungestümme in tieffester Finsternuß ihnen selbst helffen mögen","","","","","","","1632","2020-08-31 13:40:20","2020-11-26 14:50:49","","","","","","","","Instrumentum Magneticum","","","","","Andream Aperger","Augsburg","German","","","","","Open WorldCat","","Sedrucht zu Augspurg/ durch Andream Aperger /Im Iahr Christi. M.DC.XXXII.","","","http://digital.slub-dresden.de/id263697037","Navigation; Instrument; Inklination; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; Z_PRIORITY2; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNQCUZAH","book","1629","Gilbert, William","De magnete: magneticisque corporibus, vi eius attractiva, & medicinali proprietate, motionibus, usuque & directione, ut & pyxidis nauticae compositione, terrestrisque globi diurna revolutione magnetica, tractatus novus & absolutissimus ex veterum et recentiorum scriptis erutus, aenis figuris & notis illustratus per Wolffgangum Lochmannum, D. & Mathematicum.","","","","","","","1629","2020-08-31 13:40:20","2020-11-26 14:48:55","","","232","","","","","De magnete","","","","","Guilelmum Fitzerum","Frankfurt","Latin","","","","","Google Books","","Francofurti, Apud Guilelmum Fitzerum, Anglum. Anno M.DC.XXIX.","","; ","https://books.google.de/books?id=_VA1OAAACAAJ; http://purl.uni-rostock.de/rosdok/ppn769054471","Magnet; Gilbert; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BETDKIX4","book","1596","Norman, Robert; Borough, William","The new attractive: Containing a short discourse of the magnes or loadstone: and amongst other his vertues, of a new discovered secret and subtill propertie, concerning the declination of the needle, touched therewith under the plaine of the horizon. Now first founde out by Robert Norman hydrographer: Heereunto are annexed certaine necessary rules for the art of nauigation by the same R.N. Newly corrected and emended by M.W.B.","","","","","","","1596","2020-08-31 13:40:20","2020-11-30 11:31:14","","","","","","","","New attractive","","","","","Edward Allde; for Hugh Astley","S.L.","English","","","","","Open WorldCat","","By Edward Allde, for Hugh Astley dwelling at S. Magnus corner.","","","https://search.proquest.com/docview/2248516030/D0364C4E3E154387PQ/2?accountid=104321","Norman; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3X4SS2WV","book","1592","Norman, Robert; Borough, William","The new attractive: Containing a short discourse of the magnes or loadstone: and amongst other his vertues, of a new discovered secret and subtill propertie, concerning the declination of the needle, touched therewith under the plaine of the horizon. Now first founde out by Robert Norman hydrographer: Heereunto are annexed certaine necessary rules for the art of nauigation by the same R.N. Newly corrected and emended by M.W.B.","","","","","","","1592","2020-08-31 13:40:20","2020-11-26 14:05:57","","","","","","","","The new attractive","","","","","Edward Allde; for Hew Astley","London","English","","","","","Open WorldCat","","Imprinted at London by E. Allde, for Hew Astley. 1592.","","","https://search.proquest.com/docview/2240919477?accountid=104321","Norman; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HF866GZK","book","1614","Norman, Robert; Borough, William","The newe, attractive: shewing the nature, propertie, and manifold vertues of the loadstone, with the declination of the needle, touched therewith, under the plaine of the horizon. Found out and discovered by Ro: Norman. With the application thereof, for finding the true variation of the compas: as also divers profitable rules and Instruments, for the more perfection and exactnes in the Art of nauigation. By maister W: Burrowes","","","","","","","1614","2020-08-31 13:40:20","2020-11-26 14:35:36","2018-04-25 13:29:18","","","","","","","The newe, attractive","","","","","Thomas Creede; Iohn Tappe","London","English","","","","","Open WorldCat","","Printed by T. C. for Iohn Tappe, and are to be sold at his shop at S: Magnus corner. 1614.","","","https://search.proquest.com/docview/2240919611?accountid=104321","Norman; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
