,0,1
0,"('EA', 'EB')",775
1,"('EA', 'EC')",715
2,"('EA', 'ECA')",697
3,"('EC', 'ED')",661
4,"('EAA', 'EB')",651
5,"('ECA', 'ED')",647
6,"('EC', 'EDA')",643
7,"('EA', 'EBA')",631
8,"('ECA', 'EDA')",631
9,"('EA', 'ED')",628
10,"('EAA', 'EC')",616
11,"('EA', 'EDA')",607
12,"('EAA', 'ECA')",606
13,"('EAA', 'ED')",549
14,"('EAA', 'EBA')",539
15,"('EAA', 'EDA')",531
16,"('EB', 'EC')",422
17,"('EB', 'ECA')",408
18,"('EB', 'ED')",361
19,"('EA', 'EBB')",345
20,"('EB', 'EDA')",344
21,"('EC', 'EDB')",337
22,"('ECA', 'EDB')",335
23,"('EDA', 'EDB')",320
24,"('EA', 'EDB')",314
25,"('EAA', 'EBB')",297
26,"('EBA', 'EC')",285
27,"('EAB', 'EB')",278
28,"('EBA', 'ECA')",274
29,"('EAA', 'EDB')",272
30,"('EBB', 'EC')",258
31,"('EBB', 'ECA')",255
32,"('EBA', 'ED')",245
33,"('EAB', 'EBA')",237
34,"('EAA', 'EAB')",237
35,"('EBA', 'EDA')",232
36,"('EBB', 'ED')",224
37,"('EBA', 'EBB')",221
38,"('EBB', 'EDA')",217
39,"('EAB', 'EC')",199
40,"('EAB', 'ECA')",193
41,"('EAB', 'ED')",145
42,"('EB', 'EDB')",143
43,"('EAB', 'EDA')",141
44,"('EAD', 'EB')",130
45,"('EAB', 'EBB')",126
46,"('EAD', 'EBA')",114
47,"('EAD', 'EC')",105
48,"('EAB', 'EDB')",102
49,"('EBB', 'EDB')",100
50,"('EAA', 'EAD')",99
51,"('EAD', 'ECA')",95
52,"('ECA', 'ECB')",95
53,"('EA', 'ECB')",94
54,"('ECB', 'ED')",92
55,"('ECB', 'EDA')",90
56,"('EAD', 'ED')",83
57,"('EAD', 'EDA')",82
58,"('EBA', 'EDB')",78
59,"('EAE', 'EC')",77
60,"('EAA', 'ECB')",76
61,"('EAE', 'EB')",75
62,"('EAE', 'ED')",69
63,"('EAE', 'EDA')",69
64,"('EAE', 'ECA')",68
65,"('ECB', 'EDB')",68
66,"('EAB', 'EAD')",68
67,"('EAA', 'EAE')",61
68,"('EAD', 'EAE')",61
69,"('EAE', 'EBA')",58
70,"('EAD', 'EBB')",53
71,"('ECA', 'ECC')",53
72,"('ECC', 'ED')",52
73,"('ECC', 'EDA')",52
74,"('EA', 'ECC')",51
75,"('EAB', 'EAE')",51
76,"('ECC', 'EDB')",49
77,"('EAC', 'EB')",48
78,"('EAC', 'EBA')",45
79,"('EA', 'ECD')",43
80,"('EA', 'EE')",42
81,"('ECB', 'ECC')",42
82,"('EAA', 'ECC')",42
83,"('EC', 'EE')",41
84,"('ECA', 'EE')",40
85,"('ED', 'EE')",40
86,"('EDA', 'EE')",40
87,"('EAE', 'EDB')",40
88,"('EAA', 'EAC')",40
89,"('ECD', 'ED')",38
90,"('EAB', 'ECB')",38
91,"('ECD', 'EDA')",37
92,"('EAA', 'ECD')",35
93,"('EAB', 'EAC')",35
94,"('EAC', 'EC')",35
95,"('EAC', 'ECA')",35
96,"('EAD', 'EDB')",34
97,"('EC', 'EEA')",33
98,"('ECA', 'EEA')",33
99,"('EB', 'ECD')",33
100,"('ECA', 'ECD')",33
101,"('EDB', 'EE')",33
102,"('EAA', 'EE')",32
103,"('ED', 'EEA')",32
104,"('EDA', 'EEA')",32
105,"('EB', 'ECB')",31
106,"('ECB', 'EE')",31
107,"('EBA', 'ECD')",29
108,"('EAB', 'EE')",29
109,"('ECC', 'EE')",29
110,"('EA', 'EEB')",28
111,"('EC', 'EEB')",28
112,"('ED', 'EEB')",28
113,"('EDA', 'EEB')",28
114,"('EDB', 'EEA')",28
115,"('EAE', 'EAF')",27
116,"('ECA', 'EEB')",27
117,"('EAF', 'EC')",26
118,"('EAF', 'ED')",26
119,"('EAF', 'EDA')",26
120,"('EAC', 'ED')",26
121,"('EAC', 'EDA')",26
122,"('EAB', 'ECC')",26
123,"('EAB', 'EEA')",26
124,"('ECB', 'EEA')",26
125,"('ECC', 'EEA')",26
126,"('EAA', 'EEA')",25
127,"('EAF', 'ECA')",25
128,"('EDB', 'EEB')",25
129,"('ECB', 'EEB')",25
130,"('EAE', 'ECB')",24
131,"('EAF', 'EB')",24
132,"('EAA', 'EEB')",24
133,"('EBA', 'ECB')",23
134,"('EAC', 'EBB')",23
135,"('EAA', 'EAF')",23
136,"('ECC', 'EEB')",23
137,"('EAE', 'EBB')",22
138,"('EAB', 'EEB')",22
139,"('EAD', 'ECD')",21
140,"('EAB', 'EAF')",21
141,"('EAD', 'ECB')",20
142,"('EAF', 'EDB')",20
143,"('ECD', 'EDB')",20
144,"('EEA', 'EEB')",20
145,"('EAC', 'EDB')",19
146,"('EAF', 'EBA')",18
147,"('EAD', 'EAF')",17
148,"('EBB', 'ECD')",17
149,"('EAB', 'ECD')",17
150,"('EAE', 'ECD')",17
151,"('EA', 'EBD')",17
152,"('EBB', 'ECB')",16
153,"('EAD', 'EE')",14
154,"('EAC', 'EAE')",14
155,"('EAF', 'ECB')",13
156,"('ECC', 'ECD')",13
157,"('EB', 'ECC')",13
158,"('EAC', 'EAD')",12
159,"('EBB', 'ECC')",12
160,"('EAA', 'EBD')",12
161,"('EAE', 'EE')",11
162,"('EAF', 'EBB')",11
163,"('EAD', 'ECC')",10
164,"('EB', 'EE')",10
165,"('EBA', 'ECC')",10
166,"('EAD', 'EEA')",9
167,"('EAE', 'ECC')",9
168,"('EAC', 'EAF')",9
169,"('EAB', 'EBD')",8
170,"('EBA', 'EBD')",8
171,"('EB', 'EEA')",8
172,"('EAD', 'EEB')",7
173,"('EBD', 'EC')",7
174,"('EAD', 'EBD')",7
175,"('EAE', 'EBD')",7
176,"('EA', 'EBE')",7
177,"('EAE', 'EEA')",7
178,"('EAE', 'EEB')",6
179,"('EBB', 'EE')",6
180,"('EBD', 'ECA')",6
181,"('ECB', 'ECD')",6
182,"('ECD', 'EE')",6
183,"('EBA', 'EE')",5
