,id,x,y
0,414314-16412929-1,0.6867717,0.87248176
1,414314-16412931-2,0.42788833,0.5918558
2,414314-16412931-3,0.0,0.54845893
3,414314-16412935-4,0.13202175,0.6500453
4,414314-16412935-5,0.07156552,0.67239827
5,414314-16412935-6,0.071565285,0.67239827
6,414314-16412937-7,0.15679835,0.6497329
7,414314-16412938-8,0.44199154,0.55484545
8,414314-16412943-9,0.44199154,0.5548454
9,414314-16412945-10,0.16268218,0.56213695
10,414314-16412947-11,0.17493272,0.5581672
11,414314-16412949-12,0.44141904,0.5544215
12,414314-16412951-13,0.17493299,0.55816495
13,414105-16373250-19,0.25545993,0.55683285
14,414105-16373338-20,0.97003716,0.5624918
15,414105-16373348-21,0.80081016,0.5960418
16,414105-16373407-22,0.3056011,0.7124909
17,414105-16373473-23,0.623136,0.50636923
18,414105-16373498-24,0.30559933,0.7124909
19,414105-16373501-25,0.3056005,0.7124911
20,414105-16373537-26,0.81114054,0.8019952
21,414105-16373544-27,0.81114495,0.8019953
22,414105-16373544-28,0.8181302,0.79926735
23,414105-16373545-29,0.81114626,0.8019945
24,414105-16373551-30,0.92955416,0.8953656
25,414105-16373558-31,0.753314,0.6283983
26,414105-16373561-32,0.84241056,0.6427678
27,414105-16373573-33,0.52055496,0.74033666
28,414105-16373577-34,0.8431083,0.63822275
29,414105-16373577-35,0.69344795,0.47571033
30,414105-16373581-36,0.9835148,0.5781199
31,414105-16373588-38,0.44191214,0.55488837
32,414105-16373592-39,0.441653,0.55465686
33,414105-16373600-40,0.87687063,0.64851946
34,414105-16373610-41,0.7436877,0.6162109
35,414105-16373618-42,0.8318204,0.6397682
36,414105-16373621-43,0.8008057,0.5960361
37,414105-16373626-44,0.839476,0.63552237
38,414105-16373637-45,0.87684774,0.64853257
39,414105-16373639-46,0.5205474,0.74034
40,414105-16373676-47,0.5293561,0.86462194
41,414105-16373680-48,0.8433104,0.63841
42,414105-16373683-49,0.840249,0.63588583
43,414105-16373683-50,0.8417584,0.6366507
44,414105-16373685-51,0.9037651,0.9193418
45,414105-16373696-53,0.9708809,0.55666155
46,414105-16373698-54,0.971171,0.5569389
47,414105-16373698-55,0.09185383,0.50500125
48,414105-16373704-56,0.983511,0.578115
49,414105-16373705-57,0.78061193,0.7994471
50,414105-16373709-58,0.84413904,0.6403506
51,414105-16373713-59,0.106634796,0.5012826
52,414105-16373713-60,0.5429365,0.7368323
53,414105-16373714-61,0.84404504,0.6403622
54,414105-16373719-62,0.79980195,0.6587099
55,414105-16373722-63,0.52490044,0.86172855
56,414105-16373723-64,0.4898328,0.87187237
57,414105-16373723-65,0.48983,0.87187076
58,414105-16373725-66,0.7762771,0.79208493
59,414105-16373725-67,0.77627534,0.79205424
60,414105-16373737-68,0.1549223,0.5650753
61,414105-16373756-69,0.81661224,0.91475576
62,414105-16373756-70,0.81661075,0.914752
63,414105-16373764-71,0.78061104,0.7994505
64,414105-16373769-72,0.805233,0.41606894
65,414105-16373787-73,0.9710676,0.5615167
66,414105-16373788-74,0.97192085,0.5591426
67,414105-16373788-75,0.93443066,0.89217174
