,id,x,y
0,414314-16412929-1,0.2831909,0.7973794
1,414314-16412931-2,0.4168952,0.2649249
2,414314-16412931-3,0.45240733,0.06629009
3,414314-16412935-4,0.32769877,0.1683777
4,414314-16412935-5,0.2912614,0.12831736
5,414314-16412935-6,0.2912675,0.1283194
6,414314-16412937-7,0.32793942,0.18964587
7,414314-16412938-8,0.47678912,0.26585165
8,414314-16412943-9,0.47678906,0.26585162
9,414314-16412945-10,0.5234424,0.13580506
10,414314-16412947-11,0.53157556,0.14645761
11,414314-16412949-12,0.47781444,0.26576266
12,414314-16412951-13,0.5315724,0.14645961
13,414105-16373250-19,0.561671,0.20044744
14,414105-16373338-20,0.7996912,0.6259032
15,414105-16373348-21,0.70878947,0.5155698
16,414105-16373407-22,0.28647652,0.32906073
17,414105-16373473-23,0.857032,0.36597535
18,414105-16373498-24,0.28647625,0.32904577
19,414105-16373501-25,0.28647545,0.32904562
20,414105-16373537-26,0.43973663,0.7681709
21,414105-16373544-27,0.43973708,0.76816833
22,414105-16373544-28,0.4497294,0.7670578
23,414105-16373545-29,0.43973732,0.76817137
24,414105-16373551-30,0.41163424,0.9343923
25,414105-16373558-31,0.6368204,0.4866561
26,414105-16373561-32,0.64756644,0.5690763
27,414105-16373573-33,0.3169702,0.5222506
28,414105-16373577-34,0.6314656,0.5564323
29,414105-16373577-35,0.8762479,0.43037963
30,414105-16373581-36,0.7683644,0.63199157
31,414105-16373588-38,0.4754553,0.2646592
32,414105-16373592-39,0.4760782,0.2655789
33,414105-16373600-40,0.6572145,0.60408026
34,414105-16373610-41,0.65547657,0.4730185
35,414105-16373618-42,0.6415546,0.55327857
36,414105-16373621-43,0.70880365,0.5156107
37,414105-16373626-44,0.64898354,0.5643347
38,414105-16373637-45,0.65721667,0.6040772
39,414105-16373639-46,0.31695282,0.52232623
40,414105-16373676-47,0.22425231,0.69416285
41,414105-16373680-48,0.64505726,0.57142764
42,414105-16373683-49,0.6395717,0.562883
43,414105-16373683-50,0.6367718,0.5718504
44,414105-16373685-51,0.34550697,0.95441383
45,414105-16373696-53,0.804788,0.62640643
46,414105-16373698-54,0.8025277,0.6271061
47,414105-16373698-55,0.58680904,0.041883964
48,414105-16373704-56,0.7683606,0.6319954
49,414105-16373705-57,0.42329744,0.7480228
50,414105-16373709-58,0.6344144,0.5540363
51,414105-16373713-59,0.5652495,0.035799205
52,414105-16373713-60,0.3297148,0.5328045
53,414105-16373714-61,0.6403306,0.5729152
54,414105-16373719-62,0.6228909,0.60279745
55,414105-16373722-63,0.2220956,0.6812999
56,414105-16373723-64,0.19053306,0.66513795
57,414105-16373723-65,0.19052924,0.6651457
58,414105-16373725-66,0.42867374,0.7345081
59,414105-16373725-67,0.4286786,0.7345076
60,414105-16373737-68,0.5196533,0.13011451
61,414105-16373756-69,0.29973456,0.96392316
62,414105-16373756-70,0.29973727,0.9639239
63,414105-16373764-71,0.42330337,0.74802256
64,414105-16373769-72,0.9789393,0.50233257
65,414105-16373787-73,0.809797,0.62513304
66,414105-16373788-74,0.8068343,0.62601
67,414105-16373788-75,0.434545,0.959171
68,414105-16373793-76,0.3886258,0.9787944
69,414105-16373793-77,0.8097682,0.6247891
70,414105-16373796-78,0.81882465,0.582181
71,414105-16373797-79,0.21853055,0.6855801
72,414105-16373807-80,0.33658916,0.4906952
73,414105-16373810-81,0.6423283,0.57212037
74,414105-16373815-82,0.8087369,0.51210636
75,414105-16373835-83,0.74665976,0.43486026
76,414105-16373839-84,0.7564221,0.444487
77,414105-16373847-85,0.27593318,0.53742135
78,414105-16373872-86,0.81881434,0.5821726
79,414105-16373876-87,0.74993455,0.4479582
80,414105-16373885-88,0.41320643,0.9506265
81,414105-16373886-89,0.20477636,0.7006245
82,414105-16373886-90,0.22467504,0.69429153
83,414105-16373892-91,0.6401148,0.56262064
84,414105-16373894-92,0.6368222,0.4866562
85,414105-16373895-93,0.7477623,0.42956677
86,414105-16373903-94,0.7996325,0.6259094
87,414105-16373912-95,0.5706324,0.5095219
88,414105-16373913-96,0.22385779,0.69408447
89,414105-16373914-97,0.22659828,0.69440925
90,414105-16373925-98,0.17400432,0.8711607
91,414105-16373929-99,0.29140434,0.5454633
92,414105-16373936-100,0.85703164,0.36597362
93,414105-16373947-101,0.21848822,0.6860658
94,414105-16373994-102,0.6482179,0.5573277
95,414105-16373997-103,0.64853925,0.5584309
96,414105-16374000-104,0.64748234,0.5565941
97,414105-16374017-105,0.64968914,0.5633517
98,414105-16374019-106,0.64056814,0.56216353
99,414105-16374035-107,0.38411224,0.9566946
100,414105-16374042-108,0.4025477,0.9559484
101,414105-16374043-109,0.3959931,0.95625913
102,414105-16374043-110,0.39126018,0.95677644
103,414312-16412845-616,0.26097667,0.86026484
104,414312-16412864-617,0.23255305,0.68669623
105,414312-16412870-618,0.25254494,0.7316533
106,414312-16412886-619,0.5565432,0.095350966
107,414312-16412887-620,0.5469306,0.0632069
108,414312-16412889-621,0.6581682,0.09952826
109,414312-16412890-622,0.86367375,0.3665932
110,414312-16412969-623,0.25255647,0.7316779
111,414312-16412974-624,0.24947064,0.68061835
112,414312-16412980-625,0.8087281,0.5120904
113,414312-16412982-626,0.35930234,0.4500125
114,484844-19997757-627,0.7630352,0.415919
115,484844-19997777-628,0.79645383,0.46425784
116,484844-19997783-629,0.008968296,0.67977166
117,484844-19997783-630,0.006682877,0.681712
118,484844-19997783-631,0.006682664,0.68171227
119,484844-19997783-632,0.0053760954,0.6865606
120,484844-19997783-633,0.006682664,0.68171227
121,484844-19997783-634,0.0053565237,0.6864475
122,484844-19997783-635,0.00550246,0.6870287
123,484844-19997783-636,4.3504435e-05,0.713892
124,484844-19997783-637,0.009222303,0.6911978
125,484844-19997783-638,0.00915178,0.6911676
126,484844-19997783-639,0.006220762,0.68850654
127,484844-19997783-640,0.011402311,0.6795228
128,484844-19997792-641,0.28146994,0.97775435
129,484844-19997792-642,0.035155494,0.6432733
130,484844-19997792-643,0.03516467,0.6432656
131,484844-19997792-644,0.29832482,0.37832993
132,484844-19997792-645,0.03516222,0.64326465
133,484844-19997792-646,0.451251,0.14281581
134,484844-19997792-647,0.29832476,0.37833485
135,484844-19997792-648,0.03516286,0.64326155
136,484844-19997792-649,0.03516544,0.6432624
137,484844-19997792-650,0.035165466,0.6432623
138,484844-19997792-651,0.30890113,0.42108777
139,484844-19997792-652,0.30891553,0.42106858
140,484844-19997792-653,0.035174612,0.643252
141,484844-19997792-654,0.29832444,0.3783318
142,484844-19997792-655,0.035176154,0.64325714
143,484844-19997792-656,0.29832435,0.37833878
144,484844-19997792-657,0.070579246,0.6436084
145,484844-19997792-658,0.30889693,0.42109472
146,484844-19997792-659,0.45125413,0.14281642
147,484844-19997792-660,0.45419982,0.14888972
148,484844-19997792-661,0.29832435,0.3783414
149,484844-19997792-662,0.45125523,0.15375438
150,484844-19997808-663,0.06141579,0.6843216
151,484844-19997808-664,0.017998232,0.68440306
152,484844-19997808-665,0.01711357,0.68331194
153,484844-19997808-666,0.013793512,0.69153374
154,484844-19997808-667,0.014115541,0.69175804
155,484844-19997808-668,0.061408028,0.68432975
156,484844-19997808-669,0.061408054,0.6843271
157,484844-19997808-670,0.018260961,0.68602777
158,484844-19997808-671,0.061414197,0.6843296
159,484844-19997808-672,0.0588836,0.65168387
160,484844-19997808-673,0.058886606,0.65168273
161,484844-19997808-1815,0.0114946915,0.67948794
162,484844-19997833-674,0.72588205,0.4367972
163,484844-19997833-675,0.72454953,0.4377533
164,484844-19997833-676,0.07369859,0.7360194
165,484844-19997842-677,0.7628421,0.56470335
166,484844-19997848-678,0.7258825,0.43679675
167,484844-19997848-679,0.72780913,0.4366615
168,484844-19997848-680,0.06049813,0.7350618
169,484844-19997848-681,0.7379619,0.42780334
170,484844-19997848-682,0.7379586,0.4277976
171,484844-19997848-683,0.060494702,0.7350808
172,484844-19997856-684,0.08704873,0.73247635
173,484844-19997856-685,0.08705054,0.73247504
174,484844-19997859-686,0.08704873,0.73247635
175,484844-19997859-687,0.08704871,0.7324763
176,484844-19997859-688,0.08705512,0.7322963
177,484844-19997859-689,0.087039344,0.73245317
178,484844-19997859-690,0.08703932,0.73245317
179,484844-19997859-691,0.087039344,0.7324531
180,484844-19997864-692,0.098027356,0.73182905
181,484844-19997864-693,0.087039344,0.7324532
182,484844-19997864-694,0.08706432,0.7323923
183,484844-19997867-695,0.08703988,0.7324514
184,484844-19997867-696,0.087043524,0.73243713
185,484844-19997867-697,0.08704015,0.7324038
186,484844-19997891-698,0.0,0.7138938
187,484844-19997891-699,0.07057207,0.64357597
188,484844-19997891-700,0.06140465,0.68433684
189,484844-19997891-701,0.035131108,0.64320177
190,484844-19997891-702,0.29832733,0.37831706
191,484844-19997891-703,0.29832816,0.3783259
192,484844-19997891-704,0.07057574,0.6435699
193,484844-19997891-705,0.035126004,0.64320886
194,484844-19997891-706,0.07057265,0.6435696
195,484844-19997891-707,0.018227454,0.68624204
196,484844-19997891-708,0.014034064,0.6915095
197,484844-19997891-709,0.017225098,0.6894338
198,484844-19997891-710,0.016745167,0.6900852
199,484844-19997925-711,0.8965989,0.5386757
200,484844-19997925-712,0.8965987,0.5386779
201,484844-19997925-713,0.51228017,0.8786316
202,484844-19997942-714,0.3391589,0.838833
203,484844-19997947-715,0.33528176,0.8410549
204,484844-19997947-716,0.113122545,0.73573005
205,484844-19997954-717,0.75040835,0.42673427
206,484844-19997977-718,0.81592125,0.44610256
207,484844-19997987-719,0.11399005,0.74275726
208,484844-19998004-720,0.15823337,0.8116497
209,484844-19998011-721,0.28339618,0.5759083
210,484844-19998021-722,0.814758,0.44896787
211,410634-16256026-747,0.5597964,0.1923678
212,410634-16256063-748,0.2696197,0.34941012
213,410634-16256065-749,0.3237268,0.19686146
214,410634-16256068-750,0.6487926,0.47530168
215,410634-16256077-751,0.64071685,0.529286
216,414309-16413051-1971,0.56308454,0.21070755
217,414309-16413072-1972,0.27234954,0.20364514
218,414309-16413072-1973,0.5710116,0.09142761
219,414309-16413073-1974,0.56561005,0.08699763
220,414309-16413075-1975,0.57422227,0.09688961
221,414309-16413075-1976,0.2781037,0.20205173
222,414309-16413077-1977,0.6791538,0.57939494
223,414309-16413077-1978,0.5758407,0.08504931
224,414309-16413078-1979,0.27653605,0.1729481
225,414309-16413080-1980,0.36112702,0.9114693
226,414309-16413081-1981,0.41091645,0.9105044
227,414309-16413082-1982,0.65724885,0.6040163
228,414309-16413083-1983,0.43476322,0.28141108
229,414309-16413083-1984,0.90182614,0.42602763
230,414309-16413084-1985,0.2720104,0.18511727
231,414309-16413084-1986,0.9664199,0.50124264
232,414309-16413091-1987,0.869675,0.43989703
233,414309-16413100-1988,0.47420606,0.24967153
234,414309-16413111-1989,0.3169762,0.5222616
235,414309-16413113-1990,0.6581611,0.09953624
236,414309-16413115-1991,0.5803861,0.09480844
237,414309-16413116-1992,0.39089823,0.8908058
238,414309-16413117-1993,0.6322965,0.5699294
239,414309-16413118-1994,0.22103392,0.6814103
240,414309-16413119-1995,0.36706012,0.9020765
241,414309-16413120-1996,0.22364889,0.68081164
242,414309-16413124-1997,0.5278307,0.11832717
243,414309-16413129-1998,0.7087292,0.51560956
244,414309-16413131-1999,0.37514454,0.8950955
245,414309-16413134-2000,0.2699402,0.19666709
246,414309-16413145-2001,0.83383495,0.45475012
247,414309-16413147-2002,0.65816206,0.09953028
248,414309-16413149-2003,0.37410626,0.9106638
249,414309-16413152-2004,0.27654812,0.34347337
250,414309-16413153-2005,0.83382505,0.45475838
251,414309-16413155-2006,0.3661288,0.9094574
252,414309-16413159-2007,0.59903675,0.4397284
253,414309-16413162-2008,0.6298082,0.56477153
254,414309-16413175-2009,0.587284,0.06574809
255,414309-16413176-2010,0.5926881,0.074295774
256,414309-16413176-2011,0.5783814,0.06575306
257,414309-16413178-2012,0.58090824,0.07585782
258,414309-16413178-2013,0.5792466,0.08561267
259,414309-16413179-2014,0.212432,0.2438256
260,414309-16413180-2015,0.21243592,0.24382876
261,414309-16413194-2016,0.8152081,0.50626034
262,414309-16413206-2017,0.602408,7.4483364e-07
263,414309-16413208-2018,0.60240793,5.32024e-07
264,414309-16413212-2019,0.32652086,0.1743236
265,414309-16413214-2020,0.3736502,0.9201831
266,414309-16413219-2021,0.6024081,1.3300601e-06
267,414309-16413221-2022,0.38093606,0.91928864
268,414309-16413223-2023,0.37916893,0.9256094
269,414309-16413227-2024,0.6313641,0.55623585
270,414309-16413230-2025,0.26175332,0.17139173
